date,landing_page,sessions,engaged_sessions,bounce_rate,conversions,revenue
2025-04-22,/lp/spf-bundle-20-off,1547,717,0.5365,80,4844.57
2025-04-22,/products/vitamin-c-serum,830,354,0.5732,29,1788.67
2025-04-23,/,424,129,0.6953,5,295.22
2025-04-23,/collections/bestsellers,556,198,0.6442,13,780.61
2025-04-23,/lp/free-serum-sample,2028,737,0.6364,62,3700.2
2025-04-23,/lp/skincare-routine-quiz,1159,472,0.5926,33,2102.33
2025-04-23,/lp/spf-bundle-20-off,1763,785,0.5549,95,5798.29
2025-04-23,/products/vitamin-c-serum,744,326,0.5622,26,1518.29
2025-04-24,/,393,116,0.705,5,314.51
2025-04-24,/collections/bestsellers,507,190,0.6255,11,646.84
2025-04-24,/lp/free-serum-sample,1812,598,0.6701,55,3359.5
2025-04-24,/lp/skincare-routine-quiz,1130,430,0.6192,31,1894.5
2025-04-24,/lp/spf-bundle-20-off,1782,819,0.5403,92,5697.54
2025-04-24,/products/vitamin-c-serum,791,337,0.574,28,1729.1
2025-04-25,/,431,121,0.7201,5,304.63
2025-04-25,/collections/bestsellers,561,205,0.6348,12,782.97
2025-04-25,/lp/free-serum-sample,1866,629,0.6631,59,3781.12
2025-04-25,/lp/skincare-routine-quiz,1244,492,0.6048,35,2180.55
2025-04-25,/lp/spf-bundle-20-off,1676,776,0.5372,90,5570.21
2025-04-25,/products/vitamin-c-serum,788,347,0.5597,27,1673.12
2025-04-26,/,408,123,0.6989,5,321.76
2025-04-26,/collections/bestsellers,620,227,0.6332,14,845.1
2025-04-26,/lp/free-serum-sample,2175,776,0.6434,67,4432.18
2025-04-26,/lp/skincare-routine-quiz,1210,462,0.6182,34,2040.5
2025-04-26,/lp/spf-bundle-20-off,1801,844,0.5315,100,6319.19
2025-04-26,/products/vitamin-c-serum,826,341,0.5871,28,1763.78
2025-04-27,/,443,121,0.7265,6,384.96
2025-04-27,/collections/bestsellers,651,246,0.6225,16,1051.69
2025-04-27,/lp/free-serum-sample,2254,792,0.6487,69,4330.38
2025-04-27,/lp/skincare-routine-quiz,1394,558,0.5995,43,2797.07
2025-04-27,/lp/spf-bundle-20-off,2118,967,0.5433,105,6238.62
2025-04-27,/products/vitamin-c-serum,929,412,0.557,34,2112.66
2025-04-28,/,368,104,0.7176,5,301.09
2025-04-28,/collections/bestsellers,542,195,0.6407,13,785.69
2025-04-28,/lp/free-serum-sample,1970,652,0.6692,63,3840.98
2025-04-28,/lp/skincare-routine-quiz,1216,500,0.5892,34,2144.27
2025-04-28,/lp/spf-bundle-20-off,1784,813,0.5444,94,5928.07
2025-04-28,/products/vitamin-c-serum,790,345,0.5634,26,1546.36
2025-04-29,/,410,129,0.6865,5,293.43
2025-04-29,/collections/bestsellers,610,224,0.6325,13,832.12
2025-04-29,/lp/free-serum-sample,2000,713,0.6433,61,3578.32
2025-04-29,/lp/skincare-routine-quiz,1264,489,0.6134,35,2217.76
2025-04-29,/lp/spf-bundle-20-off,1778,827,0.5348,99,5788.7
2025-04-29,/products/vitamin-c-serum,873,384,0.5603,30,1776.78
2025-04-30,/,380,112,0.7063,5,329.56
2025-04-30,/collections/bestsellers,507,188,0.63,12,722.79
2025-04-30,/lp/free-serum-sample,1743,589,0.662,51,3222.45
2025-04-30,/lp/skincare-routine-quiz,1124,464,0.5868,32,1968.67
2025-04-30,/lp/spf-bundle-20-off,1675,781,0.5337,88,5604.57
2025-04-30,/products/vitamin-c-serum,728,314,0.5686,27,1704.66
2025-05-01,/,429,125,0.7085,6,378.38
2025-05-01,/collections/bestsellers,524,190,0.6383,12,718.2
2025-05-01,/lp/free-serum-sample,2158,778,0.6396,68,4128.62
2025-05-01,/lp/skincare-routine-quiz,1221,492,0.5968,34,2178.48
2025-05-01,/lp/spf-bundle-20-off,1770,811,0.542,93,5773.12
2025-05-01,/products/vitamin-c-serum,807,353,0.5631,29,1707.47
2025-05-02,/,480,148,0.6915,6,385.81
2025-05-02,/collections/bestsellers,620,234,0.6224,14,898.09
2025-05-02,/lp/free-serum-sample,2275,768,0.6625,74,4326.63
2025-05-02,/lp/skincare-routine-quiz,1350,520,0.6145,37,2131.78
2025-05-02,/lp/spf-bundle-20-off,2114,1001,0.5263,116,7337.98
2025-05-02,/products/vitamin-c-serum,917,404,0.5594,31,1987.55
2025-05-03,/,425,123,0.7107,5,316.43
2025-05-03,/collections/bestsellers,622,228,0.6336,14,935.19
2025-05-03,/lp/free-serum-sample,2024,677,0.6653,63,3954.38
2025-05-03,/lp/skincare-routine-quiz,1368,536,0.6084,37,2448.16
2025-05-03,/lp/spf-bundle-20-off,1968,909,0.5381,109,7198.9
2025-05-03,/products/vitamin-c-serum,934,394,0.5781,33,1994.75
2025-05-04,/,446,134,0.7001,6,363.37
2025-05-04,/collections/bestsellers,609,220,0.6387,14,870.47
2025-05-04,/lp/free-serum-sample,2126,703,0.6694,67,4033.38
2025-05-04,/lp/skincare-routine-quiz,1245,489,0.6071,34,2075.28
2025-05-04,/lp/spf-bundle-20-off,1722,807,0.5313,88,5160.3
2025-05-04,/products/vitamin-c-serum,841,358,0.5747,31,1979.92
2025-05-05,/,444,132,0.7023,5,319.88
2025-05-05,/collections/bestsellers,560,205,0.6343,13,825.96
2025-05-05,/lp/free-serum-sample,2249,787,0.6501,66,3830.98
2025-05-05,/lp/skincare-routine-quiz,1330,545,0.5899,40,2501.3
2025-05-05,/lp/spf-bundle-20-off,1820,824,0.5471,92,5910.8
2025-05-05,/products/vitamin-c-serum,911,405,0.5552,34,2050.1
2025-05-06,/,437,122,0.7219,6,365.47
2025-05-06,/collections/bestsellers,539,204,0.6224,12,774.61
2025-05-06,/lp/free-serum-sample,2193,769,0.6492,72,4466.15
2025-05-06,/lp/skincare-routine-quiz,1299,504,0.6121,40,2604.7
2025-05-06,/lp/spf-bundle-20-off,1993,916,0.5404,110,7166.72
2025-05-06,/products/vitamin-c-serum,921,397,0.5689,31,1921.83
2025-05-07,/,386,109,0.7171,5,305.93
2025-05-07,/collections/bestsellers,515,192,0.6268,11,684.63
2025-05-07,/lp/free-serum-sample,2130,765,0.6407,65,3952.87
2025-05-07,/lp/skincare-routine-quiz,1161,467,0.5979,32,1924.67
2025-05-07,/lp/spf-bundle-20-off,1810,838,0.5371,94,5812.4
2025-05-07,/products/vitamin-c-serum,821,345,0.58,28,1702.55
2025-05-08,/,406,112,0.7233,5,301.97
2025-05-08,/collections/bestsellers,540,201,0.6287,12,725.83
2025-05-08,/lp/free-serum-sample,1857,634,0.6584,59,3812.72
2025-05-08,/lp/skincare-routine-quiz,1178,492,0.5827,34,2214.24
2025-05-08,/lp/spf-bundle-20-off,1779,828,0.5346,92,5859.15
2025-05-08,/products/vitamin-c-serum,778,324,0.5841,26,1723.22
2025-05-09,/,415,118,0.7153,5,301.0
2025-05-09,/collections/bestsellers,626,225,0.6411,15,897.86
2025-05-09,/lp/free-serum-sample,2146,744,0.6533,65,4094.2
2025-05-09,/lp/skincare-routine-quiz,1282,527,0.5889,39,2495.24
2025-05-09,/lp/spf-bundle-20-off,1797,802,0.5539,99,5718.55
2025-05-09,/products/vitamin-c-serum,836,373,0.5542,31,1833.76
2025-05-10,/,445,139,0.6886,6,387.22
2025-05-10,/collections/bestsellers,561,206,0.6325,13,818.31
2025-05-10,/lp/free-serum-sample,2246,777,0.6542,70,4213.16
2025-05-10,/lp/skincare-routine-quiz,1382,529,0.617,43,2649.93
2025-05-10,/lp/spf-bundle-20-off,1872,867,0.5367,97,6001.68
2025-05-10,/products/vitamin-c-serum,884,393,0.5552,30,1952.83
2025-05-11,/,391,110,0.7191,5,296.1
2025-05-11,/collections/bestsellers,543,197,0.638,12,704.75
2025-05-11,/lp/free-serum-sample,2127,765,0.6404,69,3980.15
2025-05-11,/lp/skincare-routine-quiz,1285,534,0.5848,39,2327.96
2025-05-11,/lp/spf-bundle-20-off,1654,778,0.5295,88,5070.69
2025-05-11,/products/vitamin-c-serum,803,331,0.5872,27,1720.92
2025-05-12,/,386,121,0.6873,5,322.42
2025-05-12,/collections/bestsellers,546,200,0.6338,12,778.94
2025-05-12,/lp/free-serum-sample,2018,681,0.6626,62,4000.91
2025-05-12,/lp/skincare-routine-quiz,1308,532,0.5929,39,2497.7
2025-05-12,/lp/spf-bundle-20-off,1793,820,0.5425,100,5937.02
2025-05-12,/products/vitamin-c-serum,789,351,0.5546,29,1723.06
2025-05-13,/,400,126,0.6839,5,312.93
2025-05-13,/collections/bestsellers,574,202,0.6481,13,804.48
2025-05-13,/lp/free-serum-sample,1880,686,0.635,57,3729.19
2025-05-13,/lp/skincare-routine-quiz,1141,460,0.5969,33,2099.94
2025-05-13,/lp/spf-bundle-20-off,1707,809,0.5262,88,5246.59
2025-05-13,/products/vitamin-c-serum,804,351,0.5635,29,1857.44
2025-05-14,/,373,105,0.719,5,298.42
2025-05-14,/collections/bestsellers,536,197,0.6328,12,698.19
2025-05-14,/lp/free-serum-sample,1936,714,0.6311,58,3715.33
2025-05-14,/lp/skincare-routine-quiz,1150,481,0.5815,32,1967.34
2025-05-14,/lp/spf-bundle-20-off,1655,755,0.5437,85,4957.71
2025-05-14,/products/vitamin-c-serum,739,317,0.5715,26,1595.82
2025-05-15,/,435,132,0.697,6,398.74
2025-05-15,/collections/bestsellers,602,227,0.6225,15,950.74
2025-05-15,/lp/free-serum-sample,2038,735,0.6394,65,4339.29
2025-05-15,/lp/skincare-routine-quiz,1280,529,0.5866,39,2509.65
2025-05-15,/lp/spf-bundle-20-off,1926,881,0.5427,103,6596.44
2025-05-15,/products/vitamin-c-serum,881,387,0.5612,32,2018.91
2025-05-16,/,449,126,0.7184,6,396.41
2025-05-16,/collections/bestsellers,625,227,0.6367,14,908.47
2025-05-16,/lp/free-serum-sample,2560,864,0.6625,81,5204.54
2025-05-16,/lp/skincare-routine-quiz,1536,592,0.6143,43,2752.28
2025-05-16,/lp/spf-bundle-20-off,2188,975,0.5546,119,7074.41
2025-05-16,/products/vitamin-c-serum,929,415,0.5528,34,2103.15
2025-05-17,/,434,134,0.6918,5,292.76
2025-05-17,/collections/bestsellers,549,196,0.6434,13,826.92
2025-05-17,/lp/free-serum-sample,2143,746,0.6519,67,3973.0
2025-05-17,/lp/skincare-routine-quiz,1337,543,0.5936,38,2192.97
2025-05-17,/lp/spf-bundle-20-off,1963,886,0.5487,101,6009.19
2025-05-17,/products/vitamin-c-serum,810,350,0.5674,29,1697.96
2025-05-18,/,421,116,0.7238,6,367.22
2025-05-18,/collections/bestsellers,567,201,0.6458,13,765.1
2025-05-18,/lp/free-serum-sample,2241,804,0.6413,67,4416.4
2025-05-18,/lp/skincare-routine-quiz,1412,587,0.584,39,2576.67
2025-05-18,/lp/spf-bundle-20-off,1850,883,0.5226,95,5623.74
2025-05-18,/products/vitamin-c-serum,928,386,0.5841,31,2027.68
2025-05-19,/,375,111,0.7046,5,317.51
2025-05-19,/collections/bestsellers,556,204,0.6328,13,818.72
2025-05-19,/lp/free-serum-sample,2040,743,0.6356,65,3897.67
2025-05-19,/lp/skincare-routine-quiz,1189,469,0.6055,34,2106.08
2025-05-19,/lp/spf-bundle-20-off,1799,826,0.541,101,6161.34
2025-05-19,/products/vitamin-c-serum,807,353,0.5631,29,1667.84
2025-05-20,/,435,133,0.6937,5,301.85
2025-05-20,/collections/bestsellers,556,200,0.6399,13,807.06
2025-05-20,/lp/free-serum-sample,2090,709,0.6606,63,3782.84
2025-05-20,/lp/skincare-routine-quiz,1242,500,0.5972,38,2279.83
2025-05-20,/lp/spf-bundle-20-off,1893,884,0.5332,101,6120.55
2025-05-20,/products/vitamin-c-serum,803,359,0.5531,27,1654.92
2025-05-21,/,431,126,0.7079,6,381.92
2025-05-21,/collections/bestsellers,545,194,0.6444,13,773.41
2025-05-21,/lp/free-serum-sample,2010,686,0.6586,66,3999.1
2025-05-21,/lp/skincare-routine-quiz,1285,519,0.5964,36,2114.11
2025-05-21,/lp/spf-bundle-20-off,1726,785,0.545,97,6111.85
2025-05-21,/products/vitamin-c-serum,813,357,0.5614,28,1659.98
2025-05-22,/,408,117,0.7135,5,298.93
2025-05-22,/collections/bestsellers,546,209,0.6165,12,735.1
2025-05-22,/lp/free-serum-sample,1880,665,0.6462,62,3825.7
2025-05-22,/lp/skincare-routine-quiz,1122,443,0.6053,33,2033.54
2025-05-22,/lp/spf-bundle-20-off,1731,792,0.5423,93,5923.05
2025-05-22,/products/vitamin-c-serum,772,337,0.564,29,1759.87
2025-05-23,/,441,137,0.6888,5,298.46
2025-05-23,/collections/bestsellers,560,205,0.6332,13,818.18
2025-05-23,/lp/free-serum-sample,2249,839,0.6268,68,4091.26
2025-05-23,/lp/skincare-routine-quiz,1285,511,0.6022,38,2458.46
2025-05-23,/lp/spf-bundle-20-off,1862,871,0.5324,106,6583.68
2025-05-23,/products/vitamin-c-serum,943,396,0.5799,32,1958.82
2025-05-24,/,431,120,0.7214,6,357.74
2025-05-24,/collections/bestsellers,562,216,0.6159,13,796.75
2025-05-24,/lp/free-serum-sample,2302,792,0.6559,72,4405.81
2025-05-24,/lp/skincare-routine-quiz,1377,534,0.6125,41,2637.77
2025-05-24,/lp/spf-bundle-20-off,1937,928,0.5211,102,6641.43
2025-05-24,/products/vitamin-c-serum,847,375,0.5576,28,1717.5
2025-05-25,/,456,134,0.7057,6,378.02
2025-05-25,/collections/bestsellers,623,226,0.6379,15,951.79
2025-05-25,/lp/free-serum-sample,2228,786,0.6471,73,4597.56
2025-05-25,/lp/skincare-routine-quiz,1432,557,0.6113,42,2711.42
2025-05-25,/lp/spf-bundle-20-off,2012,944,0.531,113,7612.67
2025-05-25,/products/vitamin-c-serum,979,433,0.5579,34,2302.69
2025-05-26,/,406,113,0.7227,5,320.71
2025-05-26,/collections/bestsellers,507,186,0.6323,12,779.68
2025-05-26,/lp/free-serum-sample,2146,742,0.6541,65,4088.04
2025-05-26,/lp/skincare-routine-quiz,1170,481,0.5886,35,2153.28
2025-05-26,/lp/spf-bundle-20-off,1797,860,0.5216,93,5828.64
2025-05-26,/products/vitamin-c-serum,753,323,0.5717,27,1714.47
2025-05-27,/,408,126,0.6918,5,312.31
2025-05-27,/collections/bestsellers,521,202,0.613,12,715.58
2025-05-27,/lp/free-serum-sample,1992,673,0.662,66,4324.9
2025-05-27,/lp/skincare-routine-quiz,1165,461,0.6047,35,2193.07
2025-05-27,/lp/spf-bundle-20-off,1732,796,0.5405,88,5180.95
2025-05-27,/products/vitamin-c-serum,742,324,0.5628,25,1463.63
2025-05-28,/,394,121,0.6932,5,297.41
2025-05-28,/collections/bestsellers,526,196,0.6266,12,737.88
2025-05-28,/lp/free-serum-sample,1922,707,0.6319,58,3681.11
2025-05-28,/lp/skincare-routine-quiz,1166,455,0.6102,35,2207.2
2025-05-28,/lp/spf-bundle-20-off,1574,728,0.5375,85,5077.76
2025-05-28,/products/vitamin-c-serum,762,336,0.5596,29,1808.22
2025-05-29,/,389,113,0.709,5,325.96
2025-05-29,/collections/bestsellers,533,195,0.6334,12,741.57
2025-05-29,/lp/free-serum-sample,1835,653,0.6443,56,3483.93
2025-05-29,/lp/skincare-routine-quiz,1192,488,0.5907,35,2106.74
2025-05-29,/lp/spf-bundle-20-off,1726,807,0.5322,91,5650.35
2025-05-29,/products/vitamin-c-serum,762,329,0.5688,28,1842.93
2025-05-30,/,453,144,0.6819,6,362.48
2025-05-30,/collections/bestsellers,577,215,0.6271,13,762.93
2025-05-30,/lp/free-serum-sample,2206,756,0.6572,69,4263.75
2025-05-30,/lp/skincare-routine-quiz,1432,588,0.5894,43,2788.8
2025-05-30,/lp/spf-bundle-20-off,1871,868,0.5359,103,6167.32
2025-05-30,/products/vitamin-c-serum,900,384,0.5734,31,1971.22
2025-05-31,/,420,129,0.6925,5,302.96
2025-05-31,/collections/bestsellers,517,188,0.6356,12,803.49
2025-05-31,/lp/free-serum-sample,2139,735,0.6566,72,4728.13
2025-05-31,/lp/skincare-routine-quiz,1330,540,0.5939,42,2539.86
2025-05-31,/lp/spf-bundle-20-off,1714,772,0.5494,92,5770.92
2025-05-31,/products/vitamin-c-serum,885,393,0.5555,30,1964.65
2025-06-01,/,478,146,0.6949,6,378.16
2025-06-01,/collections/bestsellers,576,217,0.6227,14,884.86
2025-06-01,/lp/free-serum-sample,2145,790,0.6317,69,4295.33
2025-06-01,/lp/skincare-routine-quiz,1349,549,0.5927,39,2521.9
2025-06-01,/lp/spf-bundle-20-off,1873,843,0.55,104,6093.24
2025-06-01,/products/vitamin-c-serum,900,396,0.5602,32,1871.79
2025-06-02,/,418,127,0.6966,5,322.7
2025-06-02,/collections/bestsellers,570,218,0.6182,13,768.63
2025-06-02,/lp/free-serum-sample,2158,747,0.6539,68,4308.42
2025-06-02,/lp/skincare-routine-quiz,1229,485,0.6051,35,2113.42
2025-06-02,/lp/spf-bundle-20-off,1823,846,0.5362,93,5950.78
2025-06-02,/products/vitamin-c-serum,874,375,0.571,30,1780.65
2025-06-03,/,431,136,0.6852,5,327.72
2025-06-03,/collections/bestsellers,573,203,0.6456,13,799.37
2025-06-03,/lp/free-serum-sample,2337,809,0.654,72,4276.25
2025-06-03,/lp/skincare-routine-quiz,1312,553,0.5782,39,2313.15
2025-06-03,/lp/spf-bundle-20-off,1802,812,0.5494,98,6101.8
2025-06-03,/products/vitamin-c-serum,856,368,0.5701,29,1920.81
2025-06-04,/,405,113,0.7222,5,318.48
2025-06-04,/collections/bestsellers,562,215,0.6176,13,767.87
2025-06-04,/lp/free-serum-sample,2029,758,0.6262,63,3809.56
2025-06-04,/lp/skincare-routine-quiz,1307,537,0.5894,40,2423.98
2025-06-04,/lp/spf-bundle-20-off,1799,857,0.5237,98,6428.75
2025-06-04,/products/vitamin-c-serum,924,396,0.5712,34,2020.09
2025-06-05,/,395,113,0.7145,5,319.58
2025-06-05,/collections/bestsellers,453,174,0.6164,11,664.9
2025-06-05,/lp/free-serum-sample,1935,727,0.6243,61,3552.27
2025-06-05,/lp/skincare-routine-quiz,1153,453,0.6067,35,2201.99
2025-06-05,/lp/spf-bundle-20-off,1488,705,0.5261,80,5075.23
2025-06-05,/products/vitamin-c-serum,720,311,0.5685,25,1456.91
2025-06-06,/,414,124,0.6994,6,356.24
2025-06-06,/collections/bestsellers,552,199,0.6397,12,739.67
2025-06-06,/lp/free-serum-sample,2037,745,0.6343,68,4276.19
2025-06-06,/lp/skincare-routine-quiz,1191,504,0.5766,36,2136.94
2025-06-06,/lp/spf-bundle-20-off,1850,840,0.5459,103,6091.33
2025-06-06,/products/vitamin-c-serum,910,407,0.5527,32,2002.85
2025-06-07,/,392,124,0.6827,5,325.24
2025-06-07,/collections/bestsellers,551,208,0.6218,12,764.69
2025-06-07,/lp/free-serum-sample,1942,725,0.6269,61,4047.98
2025-06-07,/lp/skincare-routine-quiz,1183,496,0.5807,34,2155.36
