date,ad_spend,impressions,clicks,gads_conversions,gads_conv_value,spend_high_intent,spend_crm_verified,orders,revenue,paid_orders,paid_revenue,new_customers,returning_orders,returning_revenue,first_order_customers,repeat_within_90d,leads_created,leads_converted,sessions,engaged_sessions,lp_conversions,lp_revenue,emails_sent,emails_delivered,emails_opened,emails_clicked,emails_sent_segmented,emails_sent_batch,emails_delivered_segmented,emails_opened_segmented,emails_clicked_segmented,carts_created,carts_recovered,open_pipeline_value,clv_value,cohort_d30_gp
2025-05-14,4407.09,84709,2113,148.8,8959.93,3296,3616,186,11426.02,142,8808.42,158,28,1606.51,158,14,55,1,6389,2569,218,13232.81,21593,21059,2881,401,439,21154,434,90,14,82,2,471324.42,49.58,6982.66
2025-05-15,4697.03,92155,2293,160.0,9945.07,3513,3859,201,12903.33,153,9759.0,171,30,1954.69,171,18,64,2,7162,2891,260,16813.77,20180,19678,2758,364,170,20010,168,38,6,79,1,463270.29,49.61,8094.74
2025-05-16,4973.25,106584,2548,180.4,10619.12,3713,4049,217,14169.89,165,10700.17,185,32,1970.71,185,21,66,3,8287,3199,297,18439.26,22573,22022,3166,428,1777,20796,1746,295,41,82,6,454435.66,49.64,8668.94
2025-05-17,4609.5,98258,2405,161.0,9914.32,3451,3749,203,12597.44,155,9644.19,172,31,1854.66,172,15,61,2,7236,2855,253,14992.8,465,460,81,11,465,0,460,81,11,87,1,447882.19,49.67,7620.77
2025-05-18,4681.02,96097,2398,164.4,10334.07,3492,3817,204,12422.87,155,9537.13,173,31,1889.74,173,21,69,1,7419,2977,251,15776.81,615,603,118,17,615,0,603,118,17,84,2,475228.71,49.7,7621.36
2025-05-19,4556.62,87916,2208,163.3,9689.02,3445,3725,204,12519.08,155,9314.18,173,31,2000.75,173,25,68,1,6766,2706,247,14969.16,20833,20312,2741,363,583,20250,568,87,12,83,1,470478.73,49.73,7705.08
2025-05-20,4236.03,90931,2261,153.3,9464.59,3156,3472,193,11202.53,147,8597.13,164,29,1710.72,164,25,63,3,7019,2785,247,14947.05,19677,19188,2609,359,206,19471,204,46,7,72,1,453970.12,49.76,7086.13
2025-05-21,4662.16,94700,2290,169.5,9953.12,3471,3811,207,12476.09,158,9341.33,175,32,1983.0,175,20,63,2,6810,2667,246,15040.37,18625,18164,2634,331,665,17960,653,120,18,77,5,464657.55,49.79,7551.33
2025-05-22,4282.38,86236,2213,160.5,9672.19,3244,3526,198,12579.26,151,9332.67,168,30,2059.01,168,21,68,2,6459,2563,234,14576.19,797,782,130,20,797,0,782,130,20,74,1,471967.32,49.81,7796.07
2025-05-23,4808.5,97770,2504,184.7,10844.83,3560,3899,227,13460.72,173,10355.1,192,35,1911.04,192,17,69,1,7340,2959,262,16208.86,19028,18557,2551,355,824,18204,808,157,20,78,1,458653.81,49.83,8430.04
2025-05-24,4476.18,92028,2393,157.8,10041.11,3378,3672,201,12560.6,153,9593.64,170,31,1870.07,170,21,71,1,7456,2965,262,16557.0,1023,1003,187,28,1023,0,1003,187,28,87,3,458477.12,49.85,7770.66
2025-05-25,5007.19,108157,2631,176.7,10901.37,3714,4078,212,14194.58,162,10875.04,180,32,2157.95,180,24,67,2,7730,3080,283,18554.15,20664,20149,2860,365,172,20492,169,39,6,81,0,458268.22,49.88,8701.8
2025-05-26,4681.95,89786,2377,169.2,10506.33,3516,3824,207,13209.08,158,10060.01,175,32,2099.8,175,20,65,1,6779,2705,237,14884.82,19892,19396,2861,364,169,19723,166,37,6,88,5,469839.47,49.91,8126.01
2025-05-27,4280.28,88732,2269,160.2,9775.87,3168,3504,199,12192.97,152,9313.63,168,31,1885.45,168,24,66,3,6560,2582,231,14190.44,20144,19641,2766,347,585,19559,571,84,13,86,1,489492.75,49.94,7429.14
2025-05-28,4427.74,87802,2213,164.1,10586.16,3319,3595,206,13124.27,157,9929.3,175,31,2079.63,175,22,66,3,6344,2543,224,13809.58,20419,19913,2815,389,290,20129,287,61,9,79,1,487088.22,49.97,7901.68
2025-05-29,4226.21,85788,2251,157.5,9923.88,3180,3460,195,12416.45,149,9643.09,164,31,1827.3,164,15,61,1,6437,2585,227,14151.48,19124,18651,2731,359,955,18169,936,191,26,84,7,461468.57,50.0,7657.28
2025-05-30,5043.25,99127,2532,184.8,11459.11,3825,4140,227,13762.12,174,10548.23,191,36,2212.58,191,31,72,3,7439,2955,265,16316.5,21836,21293,2946,398,996,20840,974,194,27,81,3,498087.7,50.03,8405.46
2025-05-31,4433.57,86149,2261,164.8,9782.62,3309,3629,201,13011.72,154,9990.22,169,32,2143.06,169,28,70,1,7005,2757,253,16110.01,750,742,149,21,750,0,742,149,21,91,5,471416.67,50.05,7831.58
2025-06-01,4780.76,95765,2420,180.7,11151.05,3613,3936,219,13309.67,168,10026.53,184,35,2210.61,184,17,65,4,7321,2941,264,16045.28,20406,19897,2769,380,267,20139,261,53,9,81,8,474600.68,50.08,7998.33
2025-06-02,4458.43,86755,2368,162.3,10089.83,3382,3681,202,12117.27,155,9397.97,169,33,2016.3,169,20,68,1,7072,2798,244,15244.6,20836,20323,2977,392,1177,19659,1155,234,36,77,6,493477.92,50.1,7350.74
2025-06-03,4690.5,102730,2519,179.5,10796.86,3521,3820,214,13382.09,164,10136.77,179,35,2213.77,179,19,60,3,7311,2881,256,15739.1,21310,20782,2953,404,969,20341,950,172,27,73,6,477301.03,50.13,8317.88
2025-06-04,4534.7,96430,2477,174.2,11098.88,3382,3718,214,13220.47,164,10184.85,179,35,2140.41,179,28,63,3,7026,2876,253,15768.73,21978,21441,3226,391,1207,20771,1189,246,37,82,3,485066.77,50.16,8129.18
2025-06-05,4259.0,81606,2226,171.2,9835.4,3195,3474,204,12302.8,156,9525.64,171,33,1918.63,171,24,64,0,6144,2483,217,13270.88,19853,19363,2756,345,613,19240,604,94,13,85,7,474985.45,50.19,7726.14
2025-06-06,4486.31,90799,2394,183.9,11115.98,3350,3675,218,13979.85,167,10617.83,182,36,2449.3,182,23,69,3,6954,2819,257,15603.22,20652,20136,2837,373,503,20149,491,74,11,81,4,488074.76,50.22,8512.6
2025-06-07,4565.54,92750,2395,174.8,10547.82,3432,3784,212,13469.98,163,10250.66,177,35,2244.34,177,26,71,3,6592,2710,232,15149.86,20558,20048,2837,392,1187,19371,1161,206,29,96,8,479972.04,50.25,8119.54
2025-06-08,4722.72,105647,2563,183.7,10902.35,3581,3923,222,13335.37,170,10187.65,185,37,1995.89,185,29,67,1,7478,3033,272,16664.09,0,0,0,0,0,0,0,0,0,82,6,500804.82,50.28,8208.25
2025-06-09,4631.43,86054,2306,175.5,10751.87,3513,3830,213,13180.85,163,9825.87,178,35,2173.63,178,17,67,4,6608,2647,235,14911.73,20266,19759,2735,347,0,20266,0,0,0,90,4,495728.72,50.3,8005.5
2025-06-10,4297.37,89912,2350,162.1,10143.55,3254,3537,202,13083.34,155,10234.87,168,34,2248.37,168,16,62,1,7290,2926,256,16215.05,848,832,167,23,848,0,832,167,23,83,4,480404.62,50.33,7892.01
2025-06-11,4424.25,84789,2267,160.8,10506.08,3334,3645,206,12797.35,158,9876.58,173,33,1896.48,173,26,59,1,6748,2739,245,15387.83,20095,19599,2934,385,1002,19093,983,188,28,81,4,486694.18,50.36,7837.22
2025-06-12,4159.57,76188,2178,158.8,10407.11,3127,3423,192,12909.23,148,9806.38,160,32,2063.28,160,25,74,4,6623,2657,241,15806.44,197,194,45,7,197,0,194,45,7,81,4,508144.88,50.38,7863.67
2025-06-13,4569.08,88421,2455,173.1,10860.36,3448,3780,213,13951.99,164,10769.06,177,36,2402.01,177,12,71,2,7149,2887,254,16088.62,17934,17485,2418,332,271,17663,264,57,8,80,2,492604.97,50.42,8344.86
2025-06-14,4939.19,93395,2437,182.4,11597.14,3732,4089,221,13772.93,170,10553.54,185,36,2117.95,185,25,77,1,7406,2976,267,17234.1,20093,19600,2949,363,1197,18896,1176,248,34,90,5,493162.83,50.45,8358.94
2025-06-15,4482.76,84971,2326,161.5,10998.69,3362,3685,203,12624.38,156,9895.92,169,34,2222.33,169,23,71,3,6959,2838,258,16960.41,17934,17489,2615,329,1070,16864,1047,213,34,85,4,496370.69,50.48,7757.48
2025-06-16,4362.41,92988,2508,177.8,10961.64,3278,3577,214,13357.9,165,10319.21,178,36,2299.29,178,24,73,2,7535,3002,270,17544.21,19544,19070,2699,368,1745,17799,1716,312,45,88,2,522301.32,50.51,8229.69
2025-06-17,4423.7,84482,2365,173.3,10756.79,3312,3626,210,12991.1,162,10038.22,175,35,2304.6,175,33,60,5,6974,2801,259,16656.44,796,778,144,21,796,0,778,144,21,90,9,489143.97,50.54,7852.91
2025-06-18,4440.79,88845,2348,179.6,10638.74,3328,3676,214,13080.88,165,10083.81,178,36,2165.09,178,23,70,2,7154,2913,259,16485.9,18417,17960,2730,327,940,17477,920,173,24,79,2,501209.01,50.57,8105.17
2025-06-19,4462.82,89236,2395,187.1,11369.53,3351,3705,223,14355.69,172,11080.77,185,38,2595.98,185,22,72,3,6910,2830,253,15453.1,18726,18268,2680,375,1069,17657,1052,215,33,94,3,520265.59,50.6,8579.82
2025-06-20,4524.84,82817,2183,179.4,10764.99,3420,3711,213,13479.27,164,10266.58,176,37,2150.04,176,18,65,0,6330,2585,232,14382.94,18329,17878,2564,333,1080,17249,1060,181,27,86,5,510363.09,50.63,8187.75
2025-06-21,4622.5,90421,2515,184.5,11185.96,3484,3788,223,13916.91,172,10629.86,184,39,2544.98,184,32,68,1,6957,2836,257,16371.61,20837,20321,2883,388,1296,19541,1269,277,41,82,6,518308.53,50.66,8630.6
2025-06-22,4717.04,83374,2426,184.2,11580.36,3528,3888,227,13926.87,175,10927.84,189,38,2424.88,189,15,70,1,6689,2707,238,14878.27,20646,20136,3058,378,1738,18908,1701,316,48,88,1,526399.86,50.7,8205.24
2025-06-23,4592.74,85877,2449,176.3,11171.41,3521,3810,221,13963.45,170,10697.99,182,39,2651.05,182,26,67,0,7030,2853,263,16545.44,20858,20340,3056,397,900,19958,881,177,25,80,4,531863.94,50.73,8371.09
2025-06-24,4142.54,75768,2096,163.7,10510.98,3098,3408,199,12607.1,153,9914.98,164,35,2354.89,164,22,72,5,6491,2581,241,15476.48,19436,18958,2708,375,1115,18321,1095,215,31,81,5,524633.41,50.76,7651.31
2025-06-25,4593.12,88300,2433,181.8,11213.74,3492,3797,223,14172.42,172,11086.92,184,39,2293.83,184,34,74,3,7278,2954,260,15950.36,1037,1018,218,34,1037,0,1018,218,34,84,6,520828.46,50.79,8906.2
2025-06-26,4577.19,87037,2386,181.9,11455.22,3459,3772,224,14262.92,173,11077.1,185,39,2408.29,185,29,73,2,7205,2954,266,16669.9,357,349,75,12,357,0,349,75,12,85,9,517951.83,50.82,8620.79
2025-06-27,4681.72,92767,2561,178.4,11094.12,3530,3872,217,14455.25,168,11264.8,179,38,2475.73,179,34,73,3,7688,3223,279,18175.18,19956,19458,2717,379,238,19718,233,60,9,98,5,516404.31,50.85,8765.49
2025-06-28,4626.54,84917,2419,177.2,11198.18,3504,3847,219,13780.14,169,10350.59,180,39,2570.21,180,33,76,3,7265,3015,273,17470.14,17808,17367,2548,342,987,16821,967,192,29,91,3,523005.27,50.88,8399.1
2025-06-29,4612.93,87513,2400,184.4,11276.45,3519,3819,223,13919.9,172,10821.2,183,40,2405.76,183,35,69,2,6764,2773,246,15196.05,571,559,133,21,571,0,559,133,21,85,5,523837.36,50.91,8816.04
2025-06-30,4522.61,86188,2453,182.9,11824.54,3458,3774,229,14442.99,177,11134.7,188,41,2651.63,188,33,70,0,6842,2785,255,15728.44,19663,19172,2839,389,303,19360,296,63,10,92,5,526520.94,50.95,8761.61
2025-07-01,4291.18,78559,2299,164.2,10972.35,3281,3542,202,13130.71,156,10193.54,166,36,2594.88,166,19,66,4,6617,2654,244,15360.12,19122,18658,2662,368,1710,17412,1681,325,51,88,1,532685.7,50.98,7760.07
2025-07-02,4264.75,78181,2290,170.0,11095.73,3226,3519,208,13873.76,161,10645.95,171,37,2411.09,171,27,65,3,6751,2697,245,15383.73,226,221,54,9,226,0,221,54,9,87,9,507586.1,51.03,8391.54
2025-07-03,4477.81,86571,2483,170.1,10370.88,3441,3712,205,13157.85,159,10165.37,168,37,2416.55,168,29,77,4,7243,2936,262,16701.64,18191,17742,2550,356,533,17658,525,108,14,96,4,515925.12,51.07,8103.36
2025-07-04,4552.45,86022,2443,192.6,12105.15,3442,3780,231,14439.24,179,11090.47,189,42,2657.85,189,34,67,1,7457,3004,282,17885.99,17950,17502,2564,350,784,17166,765,161,24,85,4,542716.1,51.12,8672.99
2025-07-05,4610.67,89698,2416,187.6,11981.0,3488,3802,226,15118.29,175,11724.32,185,41,2584.23,185,35,79,3,6992,2940,261,17010.94,17402,16970,2500,344,336,17066,331,71,11,94,8,536194.69,51.18,9281.56
2025-07-06,4486.86,84891,2271,181.7,11899.97,3378,3710,223,14777.03,173,11413.36,182,41,2853.68,182,29,68,3,7057,2929,255,15864.21,16673,16258,2423,322,321,16352,315,68,11,98,7,547863.63,51.24,8531.47
2025-07-07,4087.41,76804,2133,174.0,10534.3,3090,3354,210,13188.64,163,10377.25,171,39,2559.59,171,20,69,0,6600,2687,251,15324.08,18388,17929,2638,363,359,18029,351,75,13,97,7,531302.89,51.3,7653.61
2025-07-08,4098.13,77869,2311,166.4,10054.96,3118,3392,193,12697.73,150,9946.38,157,36,2335.3,157,23,72,3,6247,2595,227,15006.61,17467,17034,2638,341,753,16714,738,164,24,86,8,518255.57,51.36,7549.5
2025-07-09,4276.74,77274,2329,180.4,10484.05,3262,3564,212,13470.98,164,10507.79,174,38,2460.69,174,30,63,2,6743,2697,248,15517.41,18504,18056,2823,360,1832,16672,1801,370,55,86,7,549552.86,51.43,7940.9
2025-07-10,4074.76,75074,2115,162.6,10715.42,3063,3352,201,13205.88,156,10148.27,164,37,2201.69,164,22,70,2,6457,2657,240,15938.73,17292,16860,2491,324,0,17292,0,0,0,83,4,533790.35,51.49,8051.03
2025-07-11,4550.93,88507,2529,186.0,11994.15,3448,3793,226,14425.14,175,11013.72,185,41,2587.39,185,33,70,2,7666,3161,283,18629.35,18257,17810,2653,352,1575,16682,1545,294,44,94,4,548499.49,51.56,8905.22
2025-07-12,4340.48,83361,2386,177.8,11216.66,3335,3619,222,13735.24,172,10831.31,180,42,2642.53,180,27,81,4,6575,2692,247,15505.44,16684,16270,2329,308,202,16482,200,51,9,102,6,522543.36,51.63,8184.93
2025-07-13,4201.25,84844,2479,178.0,10855.34,3221,3523,217,13922.47,168,10871.6,176,41,2717.79,176,29,78,3,6693,2758,252,15432.85,16753,16334,2470,316,563,16190,549,114,16,89,10,520529.85,51.71,8301.35
2025-07-14,4368.42,78409,2455,185.7,12002.47,3349,3644,222,14366.88,172,11140.75,180,42,2830.64,180,25,72,3,6777,2794,261,17154.11,16334,15926,2376,318,0,16334,0,0,0,90,9,521469.46,51.78,8523.16
2025-07-15,4383.85,78350,2429,181.5,11712.42,3339,3622,214,14123.87,166,11032.51,173,41,2724.29,173,21,64,1,6857,2826,253,16533.2,17154,16726,2455,340,236,16918,231,62,9,87,5,542200.94,51.85,8241.79
2025-07-16,4564.75,88396,2498,186.4,11555.67,3448,3782,229,14346.2,178,11168.72,187,42,2650.68,187,23,67,3,7417,3041,276,16830.73,16728,16318,2519,317,1087,15641,1068,205,33,90,4,565533.51,51.92,8504.75
2025-07-17,4225.48,82421,2493,179.4,11511.19,3192,3473,219,14024.99,170,10368.45,177,42,2558.58,177,29,78,2,7332,3010,287,17430.58,19710,19233,2963,405,1535,18175,1512,296,44,97,9,532958.49,51.99,8488.3
2025-07-18,4414.95,85775,2531,190.4,11735.76,3392,3671,226,13891.94,176,10760.42,184,42,2451.75,184,24,69,2,7485,3029,282,18061.43,19009,18548,2741,370,1418,17591,1397,279,41,98,10,531585.17,52.06,8452.84
2025-07-19,4673.96,93888,2766,211.5,12548.71,3551,3881,249,15823.01,194,12388.57,201,48,2963.97,201,27,80,1,7633,3158,292,17710.91,17935,17495,2649,351,881,17054,867,190,27,98,7,550869.21,52.13,9438.2
2025-07-20,4349.08,79246,2358,187.2,11463.78,3329,3608,222,13860.29,173,10782.87,179,43,2706.25,179,21,80,1,7054,2961,253,15290.38,17755,17317,2504,355,1159,16596,1136,245,38,103,7,543036.7,52.19,8227.65
2025-07-21,4363.41,85001,2443,178.3,11515.24,3322,3637,222,14072.25,173,10988.23,179,43,2615.5,179,18,78,5,7234,2931,270,17130.62,17602,17163,2497,335,217,17385,213,54,9,96,8,564492.51,52.25,8334.2
2025-07-22,4306.37,80974,2368,181.9,11931.01,3278,3580,216,14655.92,168,11359.6,174,42,2765.57,174,27,65,3,6765,2847,266,17149.96,17045,16621,2456,325,536,16509,525,110,14,96,5,538223.8,52.31,8648.7
2025-07-23,4281.49,83053,2483,186.1,11311.13,3243,3520,221,13758.15,172,10746.77,178,43,2562.1,178,39,72,1,7404,3152,275,17322.92,18391,17948,2631,376,1745,16646,1718,346,51,84,6,532949.71,52.37,8331.36
2025-07-24,4407.89,85325,2585,188.6,12144.24,3334,3664,231,14195.5,180,11094.72,187,44,2775.57,187,27,77,4,7477,3117,287,17830.1,17901,17460,2529,354,645,17256,635,128,18,94,6,535269.69,52.43,8530.13
