date,segment,segmented,sends,delivered,opens,clicks
2025-04-21,First-Time Buyers,True,341,334,54,7
2025-04-21,Lapsed Customers,True,483,475,62,9
2025-04-21,VIP Loyalists,True,146,143,31,5
2025-04-22,All contacts (batch),False,20606,20091,2825,339
2025-04-22,Cart Abandoners,True,204,199,37,5
2025-04-22,Lapsed Customers,True,455,447,64,8
2025-04-23,All contacts (batch),False,21379,20845,3001,383
2025-04-23,First-Time Buyers,True,351,344,56,8
2025-04-23,Lapsed Customers,True,544,533,76,11
2025-04-23,New Leads,True,634,621,112,15
2025-04-24,All contacts (batch),False,19515,19027,2641,317
2025-04-24,New Leads,True,744,735,125,17
2025-04-25,All contacts (batch),False,19698,19206,2628,336
2025-04-25,Cart Abandoners,True,205,202,40,5
2025-04-25,New Leads,True,651,639,111,16
2025-04-26,All contacts (batch),False,21572,21033,2980,349
2025-04-27,All contacts (batch),False,20910,20387,2778,362
2025-04-27,Cart Abandoners,True,221,217,41,6
2025-04-27,New Leads,True,722,704,127,18
2025-04-28,All contacts (batch),False,22113,21560,2882,398
2025-04-29,New Leads,True,608,601,104,15
2025-04-29,VIP Loyalists,True,165,162,36,5
2025-04-30,All contacts (batch),False,22322,21764,2897,382
2025-04-30,First-Time Buyers,True,409,402,67,9
2025-04-30,Lapsed Customers,True,537,528,78,11
2025-05-01,All contacts (batch),False,20317,19809,2611,332
2025-05-01,Cart Abandoners,True,223,219,44,6
2025-05-01,Lapsed Customers,True,453,448,63,9
2025-05-02,All contacts (batch),False,20328,19820,2866,370
2025-05-02,Lapsed Customers,True,497,490,66,10
2025-05-03,All contacts (batch),False,22322,21764,3081,387
2025-05-03,Cart Abandoners,True,282,277,52,8
2025-05-04,All contacts (batch),False,19450,18964,2596,329
2025-05-05,All contacts (batch),False,21633,21092,2869,368
2025-05-05,Cart Abandoners,True,250,244,49,7
2025-05-05,VIP Loyalists,True,170,167,38,5
2025-05-06,All contacts (batch),False,20647,20131,2823,358
2025-05-07,Cart Abandoners,True,239,234,47,7
2025-05-07,First-Time Buyers,True,421,416,72,10
2025-05-07,Lapsed Customers,True,561,552,76,11
2025-05-08,All contacts (batch),False,19656,19165,2791,357
2025-05-08,Lapsed Customers,True,456,446,64,9
2025-05-09,All contacts (batch),False,22064,21512,3110,403
2025-05-09,First-Time Buyers,True,443,438,77,10
2025-05-09,New Leads,True,810,793,141,20
2025-05-10,All contacts (batch),False,19005,18530,2615,341
2025-05-10,Cart Abandoners,True,288,283,59,9
2025-05-10,First-Time Buyers,True,455,445,79,11
2025-05-10,Lapsed Customers,True,545,537,76,11
2025-05-11,New Leads,True,711,700,124,18
2025-05-12,All contacts (batch),False,21365,20831,3011,367
2025-05-12,First-Time Buyers,True,458,452,76,10
2025-05-13,All contacts (batch),False,20269,19762,2763,358
2025-05-13,First-Time Buyers,True,413,403,72,9
2025-05-13,Lapsed Customers,True,503,492,71,11
2025-05-14,All contacts (batch),False,21154,20625,2791,387
2025-05-14,Cart Abandoners,True,256,253,50,8
2025-05-14,VIP Loyalists,True,183,181,40,6
2025-05-15,All contacts (batch),False,20010,19510,2720,358
2025-05-15,VIP Loyalists,True,170,168,38,6
2025-05-16,All contacts (batch),False,20796,20276,2871,387
2025-05-16,First-Time Buyers,True,499,490,86,11
2025-05-16,Lapsed Customers,True,481,473,68,10
2025-05-16,New Leads,True,797,783,141,20
2025-05-17,First-Time Buyers,True,465,460,81,11
2025-05-18,First-Time Buyers,True,421,411,75,10
2025-05-18,VIP Loyalists,True,194,192,43,7
2025-05-19,All contacts (batch),False,20250,19744,2654,351
2025-05-19,Lapsed Customers,True,583,568,87,12
2025-05-20,All contacts (batch),False,19471,18984,2563,352
2025-05-20,VIP Loyalists,True,206,204,46,7
2025-05-21,All contacts (batch),False,17960,17511,2514,313
2025-05-21,Cart Abandoners,True,268,262,51,8
2025-05-21,First-Time Buyers,True,397,391,69,10
2025-05-22,Cart Abandoners,True,314,306,62,10
2025-05-22,Lapsed Customers,True,483,476,68,10
2025-05-23,All contacts (batch),False,18204,17749,2394,335
2025-05-23,New Leads,True,824,808,157,20
2025-05-24,Cart Abandoners,True,252,249,50,8
2025-05-24,New Leads,True,771,754,137,20
2025-05-25,All contacts (batch),False,20492,19980,2821,359
2025-05-25,VIP Loyalists,True,172,169,39,6
2025-05-26,All contacts (batch),False,19723,19230,2824,358
2025-05-26,VIP Loyalists,True,169,166,37,6
2025-05-27,All contacts (batch),False,19559,19070,2682,334
2025-05-27,Lapsed Customers,True,585,571,84,13
2025-05-28,All contacts (batch),False,20129,19626,2754,380
2025-05-28,Cart Abandoners,True,290,287,61,9
2025-05-29,All contacts (batch),False,18169,17715,2540,333
2025-05-29,Cart Abandoners,True,324,317,67,10
2025-05-29,First-Time Buyers,True,450,441,83,10
2025-05-29,VIP Loyalists,True,181,178,41,6
2025-05-30,All contacts (batch),False,20840,20319,2752,371
2025-05-30,Cart Abandoners,True,305,297,62,9
2025-05-30,First-Time Buyers,True,512,500,90,12
2025-05-30,VIP Loyalists,True,179,177,42,6
2025-05-31,New Leads,True,750,742,149,21
2025-06-01,All contacts (batch),False,20139,19636,2716,371
2025-06-01,Cart Abandoners,True,267,261,53,9
2025-06-02,All contacts (batch),False,19659,19168,2743,356
2025-06-02,Cart Abandoners,True,256,251,55,8
2025-06-02,New Leads,True,710,696,131,20
2025-06-02,VIP Loyalists,True,211,208,48,8
2025-06-03,All contacts (batch),False,20341,19832,2781,377
2025-06-03,Cart Abandoners,True,289,284,59,9
2025-06-03,Lapsed Customers,True,512,502,76,12
2025-06-03,VIP Loyalists,True,168,164,37,6
2025-06-04,All contacts (batch),False,20771,20252,2980,354
2025-06-04,Cart Abandoners,True,296,292,61,10
2025-06-04,New Leads,True,710,699,139,20
2025-06-04,VIP Loyalists,True,201,198,46,7
2025-06-05,All contacts (batch),False,19240,18759,2662,332
2025-06-05,Lapsed Customers,True,613,604,94,13
2025-06-06,All contacts (batch),False,20149,19645,2763,362
2025-06-06,Lapsed Customers,True,503,491,74,11
2025-06-07,All contacts (batch),False,19371,18887,2631,363
2025-06-07,First-Time Buyers,True,429,418,77,10
2025-06-07,Lapsed Customers,True,551,541,80,12
2025-06-07,VIP Loyalists,True,207,202,49,7
2025-06-09,All contacts (batch),False,20266,19759,2735,347
2025-06-10,New Leads,True,848,832,167,23
2025-06-11,All contacts (batch),False,19093,18616,2746,357
2025-06-11,Cart Abandoners,True,278,274,59,9
2025-06-11,Lapsed Customers,True,521,510,79,12
2025-06-11,VIP Loyalists,True,203,199,50,7
2025-06-12,VIP Loyalists,True,197,194,45,7
2025-06-13,All contacts (batch),False,17663,17221,2361,324
2025-06-13,Cart Abandoners,True,271,264,57,8
2025-06-14,All contacts (batch),False,18896,18424,2701,329
2025-06-14,Cart Abandoners,True,358,354,79,11
2025-06-14,New Leads,True,839,822,169,23
2025-06-15,All contacts (batch),False,16864,16442,2402,295
2025-06-15,New Leads,True,872,852,164,26
2025-06-15,VIP Loyalists,True,198,195,49,8
2025-06-16,All contacts (batch),False,17799,17354,2387,323
2025-06-16,Cart Abandoners,True,284,280,63,9
2025-06-16,Lapsed Customers,True,665,653,99,14
2025-06-16,New Leads,True,796,783,150,22
2025-06-17,Lapsed Customers,True,589,574,94,13
2025-06-17,VIP Loyalists,True,207,204,50,8
2025-06-18,All contacts (batch),False,17477,17040,2557,303
2025-06-18,Cart Abandoners,True,361,353,78,11
2025-06-18,Lapsed Customers,True,579,567,95,13
2025-06-19,All contacts (batch),False,17657,17216,2465,342
2025-06-19,Cart Abandoners,True,299,294,65,10
2025-06-19,New Leads,True,770,758,150,23
2025-06-20,All contacts (batch),False,17249,16818,2383,306
2025-06-20,First-Time Buyers,True,463,458,87,13
2025-06-20,Lapsed Customers,True,617,602,94,14
2025-06-21,All contacts (batch),False,19541,19052,2606,347
2025-06-21,Cart Abandoners,True,295,289,63,10
2025-06-21,New Leads,True,765,748,158,22
2025-06-21,VIP Loyalists,True,236,232,56,9
2025-06-22,All contacts (batch),False,18908,18435,2742,330
2025-06-22,Cart Abandoners,True,315,308,69,11
2025-06-22,Lapsed Customers,True,622,612,97,15
2025-06-22,New Leads,True,801,781,150,22
2025-06-23,All contacts (batch),False,19958,19459,2879,372
2025-06-23,Cart Abandoners,True,323,317,67,10
2025-06-23,First-Time Buyers,True,577,564,110,15
2025-06-24,All contacts (batch),False,18321,17863,2493,344
2025-06-24,Cart Abandoners,True,337,333,76,11
2025-06-24,Lapsed Customers,True,575,564,90,13
2025-06-24,VIP Loyalists,True,203,198,49,7
2025-06-25,Cart Abandoners,True,298,291,67,10
2025-06-25,First-Time Buyers,True,519,512,98,15
2025-06-25,VIP Loyalists,True,220,215,53,9
2025-06-26,Cart Abandoners,True,357,349,75,12
2025-06-27,All contacts (batch),False,19718,19225,2657,370
2025-06-27,VIP Loyalists,True,238,233,60,9
2025-06-28,All contacts (batch),False,16821,16400,2356,313
2025-06-28,New Leads,True,987,967,192,29
2025-06-29,Cart Abandoners,True,339,332,76,12
2025-06-29,VIP Loyalists,True,232,227,57,9
2025-06-30,All contacts (batch),False,19360,18876,2776,379
2025-06-30,Cart Abandoners,True,303,296,63,10
2025-07-01,All contacts (batch),False,17412,16977,2337,317
2025-07-01,Lapsed Customers,True,646,637,105,16
2025-07-01,New Leads,True,846,831,168,27
2025-07-01,VIP Loyalists,True,218,213,52,8
2025-07-02,VIP Loyalists,True,226,221,54,9
2025-07-03,All contacts (batch),False,17658,17217,2442,342
2025-07-03,First-Time Buyers,True,533,525,108,14
2025-07-04,All contacts (batch),False,17166,16737,2403,326
2025-07-04,Cart Abandoners,True,311,304,70,11
2025-07-04,First-Time Buyers,True,473,461,91,13
2025-07-05,All contacts (batch),False,17066,16639,2429,333
2025-07-05,Cart Abandoners,True,336,331,71,11
2025-07-06,All contacts (batch),False,16352,15943,2355,311
2025-07-06,Cart Abandoners,True,321,315,68,11
2025-07-07,All contacts (batch),False,18029,17578,2563,350
2025-07-07,Cart Abandoners,True,359,351,75,13
2025-07-08,All contacts (batch),False,16714,16296,2474,317
2025-07-08,First-Time Buyers,True,512,501,103,15
2025-07-08,VIP Loyalists,True,241,237,61,9
2025-07-09,All contacts (batch),False,16672,16255,2453,305
2025-07-09,Cart Abandoners,True,340,336,76,12
2025-07-09,First-Time Buyers,True,585,572,109,16
2025-07-09,New Leads,True,907,893,185,27
2025-07-10,All contacts (batch),False,17292,16860,2491,324
2025-07-11,All contacts (batch),False,16682,16265,2359,308
2025-07-11,Cart Abandoners,True,406,399,87,14
2025-07-11,First-Time Buyers,True,501,492,96,14
2025-07-11,Lapsed Customers,True,668,654,111,16
2025-07-12,All contacts (batch),False,16482,16070,2278,299
2025-07-12,VIP Loyalists,True,202,200,51,9
2025-07-13,All contacts (batch),False,16190,15785,2356,300
2025-07-13,First-Time Buyers,True,563,549,114,16
2025-07-14,All contacts (batch),False,16334,15926,2376,318
2025-07-15,All contacts (batch),False,16918,16495,2393,331
2025-07-15,VIP Loyalists,True,236,231,62,9
2025-07-16,All contacts (batch),False,15641,15250,2314,284
2025-07-16,Cart Abandoners,True,392,388,88,15
2025-07-16,Lapsed Customers,True,695,680,117,18
2025-07-17,All contacts (batch),False,18175,17721,2667,361
2025-07-17,Cart Abandoners,True,369,360,81,14
2025-07-17,First-Time Buyers,True,545,539,106,15
2025-07-17,Lapsed Customers,True,621,613,109,15
2025-07-18,All contacts (batch),False,17591,17151,2462,329
2025-07-18,First-Time Buyers,True,523,512,101,14
2025-07-18,New Leads,True,895,885,178,27
2025-07-19,All contacts (batch),False,17054,16628,2459,324
2025-07-19,Cart Abandoners,True,340,337,80,12
2025-07-19,First-Time Buyers,True,541,530,110,15
2025-07-20,All contacts (batch),False,16596,16181,2259,317
2025-07-20,Cart Abandoners,True,398,390,88,14
2025-07-20,First-Time Buyers,True,553,541,105,15
2025-07-20,VIP Loyalists,True,208,205,52,9
2025-07-21,All contacts (batch),False,17385,16950,2443,326
2025-07-21,VIP Loyalists,True,217,213,54,9
2025-07-22,All contacts (batch),False,16509,16096,2346,311
2025-07-22,First-Time Buyers,True,536,525,110,14
2025-07-23,All contacts (batch),False,16646,16230,2285,325
2025-07-23,Lapsed Customers,True,624,615,104,15
2025-07-23,New Leads,True,1121,1103,242,36
2025-07-24,All contacts (batch),False,17256,16825,2401,336
2025-07-24,First-Time Buyers,True,645,635,128,18
2025-07-25,First-Time Buyers,True,642,634,130,20
2025-07-25,Lapsed Customers,True,735,723,128,18
2025-07-25,New Leads,True,1009,988,214,34
2025-07-26,All contacts (batch),False,16248,15842,2266,302
2025-07-26,First-Time Buyers,True,571,564,117,17
2025-07-26,Lapsed Customers,True,649,633,112,16
2025-07-27,First-Time Buyers,True,556,544,115,15
2025-07-27,New Leads,True,1121,1108,240,36
2025-07-28,All contacts (batch),False,17758,17314,2652,335
2025-07-28,Cart Abandoners,True,352,348,83,14
2025-07-28,New Leads,True,900,880,184,29
2025-07-29,Lapsed Customers,True,752,736,125,20
2025-07-29,VIP Loyalists,True,255,251,65,11
2025-07-30,All contacts (batch),False,14903,14530,2235,287
2025-07-30,Cart Abandoners,True,423,419,99,17
2025-07-30,First-Time Buyers,True,618,606,121,18
2025-07-30,Lapsed Customers,True,615,600,102,16
2025-07-30,New Leads,True,984,967,218,32
2025-07-30,VIP Loyalists,True,237,231,64,10
2025-07-31,Cart Abandoners,True,384,374,90,15
2025-07-31,Lapsed Customers,True,605,595,103,15
2025-07-31,VIP Loyalists,True,239,235,63,10
2025-08-01,All contacts (batch),False,15514,15126,2225,304
2025-08-01,Cart Abandoners,True,430,425,99,17
2025-08-01,Lapsed Customers,True,622,612,107,17
2025-08-01,New Leads,True,1018,996,216,32
2025-08-01,VIP Loyalists,True,209,207,55,9
2025-08-02,All contacts (batch),False,16382,15972,2260,304
2025-08-02,First-Time Buyers,True,624,617,121,20
2025-08-02,Lapsed Customers,True,705,695,125,18
2025-08-02,VIP Loyalists,True,239,233,65,10
2025-08-03,All contacts (batch),False,16075,15673,2359,320
2025-08-03,VIP Loyalists,True,242,237,65,11
2025-08-04,All contacts (batch),False,16665,16248,2313,322
2025-08-04,Cart Abandoners,True,392,384,89,15
2025-08-04,First-Time Buyers,True,579,569,119,17
2025-08-04,New Leads,True,1085,1061,242,35
2025-08-05,Cart Abandoners,True,445,437,106,17
2025-08-05,First-Time Buyers,True,652,645,139,20
2025-08-05,New Leads,True,1036,1018,222,35
2025-08-06,Cart Abandoners,True,434,427,105,17
2025-08-06,First-Time Buyers,True,559,548,115,17
2025-08-06,Lapsed Customers,True,704,691,120,18
2025-08-07,All contacts (batch),False,16805,16385,2366,323
2025-08-07,Lapsed Customers,True,661,652,111,18
2025-08-07,New Leads,True,1002,990,220,32
2025-08-07,VIP Loyalists,True,276,270,75,13
2025-08-08,Cart Abandoners,True,355,349,79,14
2025-08-08,Lapsed Customers,True,706,694,129,19
2025-08-09,All contacts (batch),False,14759,14390,2192,298
2025-08-09,Cart Abandoners,True,459,450,104,18
2025-08-09,New Leads,True,1026,1001,223,36
2025-08-09,VIP Loyalists,True,284,280,77,13
2025-08-10,All contacts (batch),False,14516,14153,2093,275
2025-08-10,New Leads,True,1107,1093,245,38
2025-08-10,VIP Loyalists,True,261,255,72,12
2025-08-11,All contacts (batch),False,15274,14892,2241,307
2025-08-11,Lapsed Customers,True,618,606,112,16
2025-08-11,New Leads,True,1181,1156,243,40
2025-08-12,First-Time Buyers,True,612,597,129,18
2025-08-12,Lapsed Customers,True,788,778,144,21
2025-08-12,New Leads,True,922,910,195,29
2025-08-13,Cart Abandoners,True,438,427,102,18
2025-08-13,Lapsed Customers,True,765,752,133,22
2025-08-14,All contacts (batch),False,14691,14324,2090,302
2025-08-14,Cart Abandoners,True,439,431,108,18
2025-08-14,Lapsed Customers,True,806,788,143,22
2025-08-14,New Leads,True,1066,1054,238,36
2025-08-15,All contacts (batch),False,15326,14943,2322,318
2025-08-15,Lapsed Customers,True,751,739,133,20
2025-08-15,New Leads,True,1167,1142,244,38
2025-08-16,All contacts (batch),False,16394,15984,2491,308
2025-08-16,Cart Abandoners,True,470,465,109,20
2025-08-17,Lapsed Customers,True,705,688,131,19
2025-08-17,VIP Loyalists,True,252,247,71,11
2025-08-18,All contacts (batch),False,15148,14769,2163,305
2025-08-18,Lapsed Customers,True,695,686,122,18
2025-08-19,All contacts (batch),False,16436,16025,2363,334
2025-08-19,First-Time Buyers,True,601,593,131,19
2025-08-19,Lapsed Customers,True,672,655,120,19
2025-08-19,New Leads,True,1001,979,229,35
2025-08-20,Cart Abandoners,True,365,360,90,15
2025-08-20,Lapsed Customers,True,695,686,126,19
2025-08-21,Cart Abandoners,True,458,449,108,19
2025-08-22,All contacts (batch),False,16739,16321,2545,329
2025-08-22,Lapsed Customers,True,651,644,123,18
2025-08-22,VIP Loyalists,True,274,271,76,13
2025-08-23,All contacts (batch),False,14531,14168,2092,290
2025-08-24,VIP Loyalists,True,285,279,80,14
2025-08-25,First-Time Buyers,True,593,584,130,19
2025-08-25,New Leads,True,1235,1210,264,42
2025-08-26,All contacts (batch),False,14797,14427,2098,304
2025-08-27,All contacts (batch),False,16211,15806,2456,311
2025-08-27,Cart Abandoners,True,427,416,108,18
2025-08-27,New Leads,True,1069,1041,241,35
2025-08-28,All contacts (batch),False,16379,15970,2337,342
2025-08-28,Cart Abandoners,True,428,417,108,17
2025-08-28,VIP Loyalists,True,283,279,79,13
2025-08-29,Cart Abandoners,True,391,385,96,16
2025-08-29,Lapsed Customers,True,859,850,165,23
2025-08-30,All contacts (batch),False,15849,15453,2297,307
2025-08-30,Lapsed Customers,True,694,677,133,19
2025-08-30,VIP Loyalists,True,270,267,79,13
2025-08-31,First-Time Buyers,True,677,667,149,21
2025-08-31,Lapsed Customers,True,655,648,124,19
2025-08-31,New Leads,True,1215,1197,260,45
2025-08-31,VIP Loyalists,True,246,243,67,11
2025-09-01,All contacts (batch),False,13972,13623,1951,268
2025-09-02,All contacts (batch),False,14894,14522,2174,282
2025-09-02,Cart Abandoners,True,478,473,115,21
2025-09-02,Lapsed Customers,True,837,821,150,24
2025-09-03,All contacts (batch),False,13968,13619,2029,295
2025-09-03,Cart Abandoners,True,432,427,105,18
2025-09-03,New Leads,True,1084,1073,246,39
2025-09-03,VIP Loyalists,True,260,257,72,12
2025-09-04,Lapsed Customers,True,827,809,148,23
2025-09-05,All contacts (batch),False,16291,15884,2475,344
2025-09-06,First-Time Buyers,True,660,650,143,21
2025-09-06,Lapsed Customers,True,699,683,126,21
2025-09-07,All contacts (batch),False,15549,15160,2262,324
2025-09-07,Cart Abandoners,True,466,458,118,20
2025-09-07,VIP Loyalists,True,292,286,80,13
2025-09-08,Lapsed Customers,True,856,836,156,24
2025-09-08,VIP Loyalists,True,250,246,71,12
2025-09-09,All contacts (batch),False,13628,13287,1988,259
2025-09-09,New Leads,True,994,977,235,36
2025-09-10,All contacts (batch),False,15336,14953,2328,310
2025-09-10,VIP Loyalists,True,261,257,75,13
2025-09-11,First-Time Buyers,True,700,688,150,24
2025-09-11,VIP Loyalists,True,238,235,70,11
2025-09-12,First-Time Buyers,True,613,601,131,20
2025-09-12,Lapsed Customers,True,780,762,146,21
2025-09-12,New Leads,True,1031,1013,244,36
2025-09-12,VIP Loyalists,True,287,283,86,13
2025-09-13,All contacts (batch),False,14579,14215,2127,310
2025-09-13,Cart Abandoners,True,463,455,122,21
2025-09-13,First-Time Buyers,True,711,693,150,22
2025-09-13,New Leads,True,1215,1197,275,46
2025-09-13,VIP Loyalists,True,257,254,73,13
2025-09-14,All contacts (batch),False,13225,12894,1914,254
2025-09-14,Cart Abandoners,True,405,396,97,18
2025-09-14,First-Time Buyers,True,678,670,155,23
2025-09-15,All contacts (batch),False,13796,13451,2063,268
2025-09-15,Cart Abandoners,True,453,443,118,19
2025-09-16,All contacts (batch),False,13135,12807,1863,280
2025-09-16,Lapsed Customers,True,786,771,154,23
2025-09-16,New Leads,True,1018,994,230,38
2025-09-16,VIP Loyalists,True,261,256,78,13
2025-09-17,Lapsed Customers,True,786,769,147,22
2025-09-17,VIP Loyalists,True,252,249,70,13
2025-09-18,All contacts (batch),False,15297,14915,2188,309
2025-09-18,Lapsed Customers,True,792,784,154,23
2025-09-19,Cart Abandoners,True,526,521,132,24
2025-09-19,First-Time Buyers,True,675,662,155,23
2025-09-19,Lapsed Customers,True,749,737,151,23
2025-09-20,All contacts (batch),False,14701,14333,2285,314
2025-09-20,First-Time Buyers,True,663,648,142,23
2025-09-20,New Leads,True,1292,1268,295,45
2025-09-21,Cart Abandoners,True,423,412,111,19
2025-09-22,Lapsed Customers,True,869,847,163,26
2025-09-22,New Leads,True,1041,1029,233,40
2025-09-23,Cart Abandoners,True,503,493,134,23
2025-09-23,New Leads,True,1095,1077,259,42
2025-09-24,All contacts (batch),False,13371,13037,2018,265
2025-09-25,Cart Abandoners,True,432,422,105,19
2025-09-25,Lapsed Customers,True,719,707,133,21
2025-09-25,VIP Loyalists,True,254,251,73,12
2025-09-26,Cart Abandoners,True,485,476,121,21
2025-09-26,First-Time Buyers,True,810,800,173,27
2025-09-26,Lapsed Customers,True,907,888,172,28
2025-09-26,New Leads,True,1144,1120,277,43
2025-09-27,Cart Abandoners,True,443,433,111,20
2025-09-27,New Leads,True,1271,1255,303,51
2025-09-27,VIP Loyalists,True,267,261,81,14
2025-09-28,Cart Abandoners,True,469,463,117,22
2025-09-28,Lapsed Customers,True,742,725,142,22
2025-09-28,New Leads,True,1240,1209,288,46
2025-09-29,All contacts (batch),False,12754,12435,1833,270
2025-09-29,Cart Abandoners,True,543,533,144,25
2025-09-29,Lapsed Customers,True,793,783,162,26
2025-09-29,New Leads,True,1351,1316,324,51
2025-09-29,VIP Loyalists,True,254,249,78,13
2025-09-30,All contacts (batch),False,14504,14141,2193,314
2025-09-30,Cart Abandoners,True,486,476,128,23
2025-09-30,VIP Loyalists,True,275,270,79,14
2025-10-01,VIP Loyalists,True,310,304,95,15
2025-10-02,All contacts (batch),False,14767,14398,2150,314
2025-10-02,Cart Abandoners,True,451,445,116,20
2025-10-02,New Leads,True,1160,1141,284,47
2025-10-02,VIP Loyalists,True,326,321,95,16
2025-10-03,Lapsed Customers,True,877,862,168,28
2025-10-04,All contacts (batch),False,13100,12772,1877,264
2025-10-04,Cart Abandoners,True,505,499,134,23
2025-10-04,First-Time Buyers,True,635,627,141,21
2025-10-04,Lapsed Customers,True,829,820,163,27
2025-10-04,New Leads,True,1399,1369,330,51
2025-10-05,All contacts (batch),False,13897,13550,2109,293
2025-10-05,New Leads,True,1138,1112,266,45
2025-10-05,VIP Loyalists,True,281,275,85,14
2025-10-06,All contacts (batch),False,12384,12074,1769,246
2025-10-06,Cart Abandoners,True,523,513,140,24
2025-10-06,VIP Loyalists,True,335,328,96,18
2025-10-07,Cart Abandoners,True,480,475,130,23
2025-10-07,Lapsed Customers,True,724,708,147,21
2025-10-07,VIP Loyalists,True,292,285,91,16
2025-10-08,All contacts (batch),False,12905,12582,1855,267
2025-10-08,Cart Abandoners,True,520,513,138,25
2025-10-08,First-Time Buyers,True,711,703,164,25
2025-10-09,Cart Abandoners,True,551,541,143,24
2025-10-10,Cart Abandoners,True,512,499,132,24
2025-10-10,First-Time Buyers,True,701,685,160,23
2025-10-10,Lapsed Customers,True,743,734,143,24
2025-10-11,All contacts (batch),False,13609,13269,2063,293
2025-10-11,Cart Abandoners,True,540,530,138,25
2025-10-11,First-Time Buyers,True,831,811,182,29
2025-10-11,New Leads,True,1355,1329,330,52
2025-10-12,Cart Abandoners,True,455,449,125,22
2025-10-12,Lapsed Customers,True,941,918,193,29
2025-10-13,Cart Abandoners,True,544,532,146,24
2025-10-13,Lapsed Customers,True,899,886,177,27
2025-10-13,VIP Loyalists,True,320,315,92,18
2025-10-14,All contacts (batch),False,13159,12830,1928,276
2025-10-14,First-Time Buyers,True,737,725,166,25
2025-10-14,Lapsed Customers,True,874,858,168,27
2025-10-14,New Leads,True,1240,1213,296,51
2025-10-15,New Leads,True,1447,1419,348,55
2025-10-16,New Leads,True,1380,1345,332,56
2025-10-17,Cart Abandoners,True,522,512,137,24
2025-10-17,First-Time Buyers,True,821,813,194,28
2025-10-17,Lapsed Customers,True,971,947,193,31
2025-10-17,New Leads,True,1163,1140,273,44
2025-10-18,All contacts (batch),False,12461,12149,1967,252
2025-10-18,Cart Abandoners,True,490,479,129,23
2025-10-20,Lapsed Customers,True,824,815,172,27
2025-10-20,New Leads,True,1378,1348,317,56
2025-10-20,VIP Loyalists,True,326,323,97,17
2025-10-21,Cart Abandoners,True,516,511,135,24
2025-10-21,New Leads,True,1225,1211,299,52
2025-10-21,VIP Loyalists,True,317,309,100,17
2025-10-22,All contacts (batch),False,11818,11523,1857,248
2025-10-22,First-Time Buyers,True,750,736,174,28
2025-10-22,Lapsed Customers,True,837,819,178,28
2025-10-22,New Leads,True,1145,1127,265,48
2025-10-23,Cart Abandoners,True,456,445,126,21
2025-10-23,First-Time Buyers,True,809,792,182,30
2025-10-24,Cart Abandoners,True,501,493,131,23
2025-10-24,First-Time Buyers,True,797,781,182,28
2025-10-24,Lapsed Customers,True,935,918,196,28
2025-10-24,New Leads,True,1179,1154,283,44
2025-10-24,VIP Loyalists,True,288,281,89,16
