Cart ID,Associated Contact ID,Cart Created Date,Cart Value,Recovered,Recovery Date
900077,316341,2025-04-02,51.27,No,
900078,330338,2025-04-02,89.58,No,
900079,272220,2025-04-02,59.58,No,
900080,309236,2025-04-02,74.14,No,
900081,281927,2025-04-02,82.27,No,
900082,359482,2025-04-02,68.71,No,
900083,338400,2025-04-02,105.28,No,
900084,313707,2025-04-02,112.82,No,
900085,345048,2025-04-02,55.38,No,
900086,220719,2025-04-02,68.01,No,
900087,205252,2025-04-02,89.43,No,
900088,243619,2025-04-02,115.84,No,
900089,321385,2025-04-02,88.13,No,
900090,311606,2025-04-02,69.55,No,
900091,255022,2025-04-02,88.90,No,
900092,358657,2025-04-02,74.84,No,
900093,343117,2025-04-02,38.91,No,
900094,223700,2025-04-02,80.43,No,
900095,346883,2025-04-02,65.20,No,
900096,222261,2025-04-02,90.01,No,
900097,283223,2025-04-02,41.98,No,
900098,291153,2025-04-02,66.62,No,
900099,214806,2025-04-02,92.79,No,
900100,209500,2025-04-02,36.30,No,
900101,252791,2025-04-02,50.91,No,
900102,308077,2025-04-02,97.46,No,
900103,235203,2025-04-02,44.51,No,
900104,219930,2025-04-02,63.57,No,
900105,365070,2025-04-02,63.51,No,
900106,375608,2025-04-02,109.50,No,
900107,345169,2025-04-02,70.71,No,
900108,306385,2025-04-02,74.62,No,
900109,318191,2025-04-02,51.85,No,
900110,240963,2025-04-02,65.14,No,
900111,287928,2025-04-02,51.53,No,
900112,333319,2025-04-02,56.85,No,
900113,283337,2025-04-02,59.50,No,
900114,289761,2025-04-02,85.80,No,
900115,357806,2025-04-02,72.12,No,
900116,255304,2025-04-02,40.73,No,
900117,369935,2025-04-02,82.17,No,
900118,234095,2025-04-02,20.00,No,
900119,265793,2025-04-02,91.37,No,
900120,244963,2025-04-02,81.22,No,
900121,283377,2025-04-02,90.67,No,
900122,356263,2025-04-02,52.14,No,
900123,236680,2025-04-02,78.44,No,
900124,247255,2025-04-02,115.34,No,
900125,253634,2025-04-02,75.85,No,
900126,241828,2025-04-02,102.32,No,
900127,236928,2025-04-02,91.71,No,
900128,200569,2025-04-02,55.36,No,
900129,228612,2025-04-02,60.49,No,
900130,266085,2025-04-02,79.15,No,
900131,288619,2025-04-02,49.09,No,
900132,318989,2025-04-03,89.00,No,
900133,363519,2025-04-03,45.84,No,
900134,320390,2025-04-03,46.83,No,
900135,206780,2025-04-03,45.31,No,
900136,240194,2025-04-03,59.27,No,
900137,244655,2025-04-03,55.32,No,
900138,370008,2025-04-03,76.22,No,
900139,303129,2025-04-03,84.76,No,
900140,224146,2025-04-03,121.59,No,
900141,360989,2025-04-03,110.20,No,
900142,366359,2025-04-03,44.03,No,
900143,261826,2025-04-03,58.29,No,
900144,279707,2025-04-03,87.59,No,
900145,270971,2025-04-03,102.22,No,
900146,373870,2025-04-03,60.40,No,
900147,282251,2025-04-03,106.00,No,
900148,269076,2025-04-03,66.90,No,
900149,275967,2025-04-03,78.60,No,
900150,217255,2025-04-03,70.62,No,
900151,353869,2025-04-03,73.47,No,
900152,287497,2025-04-03,60.73,No,
900153,350422,2025-04-03,26.92,No,
900154,290625,2025-04-03,97.34,No,
900155,369261,2025-04-03,32.52,No,
900156,216734,2025-04-03,77.31,No,
900157,322202,2025-04-03,71.47,No,
900158,327317,2025-04-03,46.04,No,
900159,353430,2025-04-03,62.72,No,
900160,284293,2025-04-03,82.33,No,
900161,327196,2025-04-03,53.41,No,
900162,276439,2025-04-03,75.51,No,
900163,303721,2025-04-03,85.34,No,
900164,234950,2025-04-03,44.89,No,
900165,211359,2025-04-03,89.59,No,
900166,290271,2025-04-03,85.41,No,
900167,224127,2025-04-03,62.75,No,
900168,317149,2025-04-03,83.38,No,
900169,232782,2025-04-03,103.71,No,
900170,325914,2025-04-03,98.45,No,
900171,360183,2025-04-03,97.92,No,
900172,202927,2025-04-03,49.68,No,
900173,337656,2025-04-03,46.14,No,
900174,248193,2025-04-03,75.31,No,
900175,242836,2025-04-03,56.99,No,
900176,261257,2025-04-03,71.52,No,
900177,334403,2025-04-03,76.69,No,
900178,314158,2025-04-03,91.09,No,
900179,302469,2025-04-03,58.93,No,
900180,302559,2025-04-03,57.90,No,
900181,337350,2025-04-03,96.34,No,
900182,367127,2025-04-03,109.92,No,
900183,204324,2025-04-03,112.61,No,
900184,364894,2025-04-03,39.64,No,
900185,335183,2025-04-03,86.88,No,
900186,296855,2025-04-03,71.21,No,
900187,300769,2025-04-03,108.57,No,
900188,253331,2025-04-03,69.33,No,
900189,244853,2025-04-03,58.70,No,
900190,358599,2025-04-03,105.95,No,
900191,305265,2025-04-03,67.70,No,
900192,372282,2025-04-03,76.76,No,
900193,309461,2025-04-03,38.84,No,
900194,242637,2025-04-03,58.11,No,
900195,260035,2025-04-03,50.52,No,
900196,336391,2025-04-03,84.82,No,
900197,250573,2025-04-04,68.59,No,
900198,298738,2025-04-04,118.27,No,
900199,280454,2025-04-04,58.20,No,
900200,334146,2025-04-04,72.05,No,
900201,300291,2025-04-04,99.81,No,
900202,324948,2025-04-04,85.48,No,
900203,260699,2025-04-04,33.70,No,
900204,208586,2025-04-04,102.74,No,
900205,318877,2025-04-04,90.16,No,
900206,351706,2025-04-04,85.01,No,
900207,295071,2025-04-04,64.14,No,
900208,214745,2025-04-04,73.42,No,
900209,327895,2025-04-04,71.85,No,
900210,314273,2025-04-04,71.38,No,
900211,301493,2025-04-04,98.46,No,
900212,372664,2025-04-04,55.69,No,
900213,296550,2025-04-04,90.17,No,
900214,342274,2025-04-04,51.83,No,
900215,354444,2025-04-04,106.16,No,
900216,225636,2025-04-04,51.94,No,
900217,250083,2025-04-04,98.28,No,
900218,233034,2025-04-04,50.09,No,
900219,287289,2025-04-04,84.78,No,
900220,317504,2025-04-04,46.78,No,
900221,319030,2025-04-04,99.08,No,
900222,219257,2025-04-04,79.29,No,
900223,314499,2025-04-04,76.70,No,
900224,296238,2025-04-04,117.01,No,
900225,287245,2025-04-04,79.51,No,
900226,345699,2025-04-04,51.62,No,
900227,230234,2025-04-04,95.20,No,
900228,350792,2025-04-04,49.62,No,
900229,248231,2025-04-04,65.98,No,
900230,342951,2025-04-04,57.40,No,
900231,231195,2025-04-04,82.62,No,
900232,336979,2025-04-04,82.19,No,
900233,374029,2025-04-04,89.61,No,
900234,262987,2025-04-04,74.68,No,
900235,204537,2025-04-04,54.62,No,
900236,309731,2025-04-04,84.25,No,
900237,292263,2025-04-04,79.71,No,
900238,326753,2025-04-04,54.37,No,
900239,350343,2025-04-04,71.51,No,
900240,354026,2025-04-04,79.24,No,
900241,288006,2025-04-04,60.60,No,
900242,263125,2025-04-04,65.73,No,
900243,346203,2025-04-04,59.30,No,
900244,228967,2025-04-04,133.49,No,
900245,260945,2025-04-04,79.54,No,
900246,256265,2025-04-04,75.40,No,
900247,309165,2025-04-04,93.38,No,
900248,254262,2025-04-04,58.99,No,
900249,251993,2025-04-04,51.06,No,
900250,366165,2025-04-04,87.84,No,
900251,376641,2025-04-04,53.49,No,
900252,331833,2025-04-04,31.33,No,
900253,339084,2025-04-04,70.65,No,
900254,324233,2025-04-04,48.34,No,
900255,271490,2025-04-04,86.42,No,
900256,306554,2025-04-04,103.70,No,
900257,241310,2025-04-04,69.55,No,
900258,300666,2025-04-04,70.76,No,
900259,350970,2025-04-04,94.33,No,
900260,363589,2025-04-04,20.00,No,
900261,233661,2025-04-04,29.78,No,
900262,348815,2025-04-04,67.41,No,
900263,321063,2025-04-04,71.33,No,
900264,356301,2025-04-04,20.00,No,
900265,238873,2025-04-04,75.75,No,
900266,317751,2025-04-04,33.93,No,
900267,350929,2025-04-04,77.45,No,
900268,296856,2025-04-04,55.10,No,
900269,333417,2025-04-04,39.50,No,
900270,363495,2025-04-04,68.62,No,
900271,269334,2025-04-05,87.09,No,
900272,363345,2025-04-05,41.66,No,
900273,302023,2025-04-05,80.25,No,
900274,376939,2025-04-05,89.17,No,
900275,260988,2025-04-05,64.69,No,
900276,228922,2025-04-05,89.43,No,
900277,370515,2025-04-05,71.19,No,
900278,309676,2025-04-05,80.33,No,
900279,364686,2025-04-05,94.70,No,
900280,271956,2025-04-05,100.51,No,
900281,342283,2025-04-05,67.64,No,
900282,205177,2025-04-05,55.83,No,
900283,221438,2025-04-05,85.38,No,
900284,259890,2025-04-05,68.99,No,
900285,339911,2025-04-05,105.87,No,
900286,212433,2025-04-05,100.78,No,
900287,237739,2025-04-05,114.60,No,
900288,246004,2025-04-05,49.87,No,
900289,207865,2025-04-05,75.03,No,
900290,256422,2025-04-05,43.17,No,
900291,302336,2025-04-05,27.03,No,
900292,208590,2025-04-05,83.12,No,
900293,292918,2025-04-05,95.34,No,
900294,274163,2025-04-05,65.56,No,
900295,313231,2025-04-05,64.77,No,
900296,226575,2025-04-05,73.90,No,
900297,250863,2025-04-05,30.83,No,
900298,307933,2025-04-05,57.19,No,
900299,328488,2025-04-05,69.74,No,
900300,376937,2025-04-05,100.15,No,
900301,378222,2025-04-05,37.26,No,
900302,338361,2025-04-05,82.61,No,
900303,256049,2025-04-05,52.61,No,
900304,241809,2025-04-05,73.40,No,
900305,255696,2025-04-05,76.15,No,
900306,372056,2025-04-05,66.27,No,
900307,256310,2025-04-05,107.41,No,
900308,336120,2025-04-05,54.11,No,
900309,280998,2025-04-05,48.04,No,
900310,214842,2025-04-05,61.12,No,
900311,368619,2025-04-05,22.02,No,
900312,212039,2025-04-05,69.43,No,
900313,333024,2025-04-05,45.30,No,
900314,260338,2025-04-05,52.38,No,
900315,306595,2025-04-05,43.87,No,
900316,321887,2025-04-05,41.87,No,
900317,260443,2025-04-05,98.62,No,
900318,371724,2025-04-05,54.13,No,
900319,213646,2025-04-05,98.58,No,
900320,299993,2025-04-05,39.61,No,
900321,290906,2025-04-05,57.70,No,
900322,376995,2025-04-05,69.78,No,
900323,218487,2025-04-05,84.97,No,
900324,364777,2025-04-05,83.86,No,
900325,344158,2025-04-05,63.85,No,
900326,363252,2025-04-05,67.70,No,
900327,311852,2025-04-05,62.55,No,
900328,309385,2025-04-05,61.04,No,
900329,216974,2025-04-05,82.35,No,
900330,246318,2025-04-05,64.89,No,
900331,326727,2025-04-05,33.37,No,
900332,291489,2025-04-05,62.47,No,
900333,250742,2025-04-05,33.98,No,
900334,340677,2025-04-05,53.63,No,
900335,271359,2025-04-05,31.10,No,
900336,350624,2025-04-05,90.34,No,
900337,239000,2025-04-05,54.22,No,
900338,224797,2025-04-05,59.26,No,
900339,349608,2025-04-05,40.88,No,
900340,377690,2025-04-05,53.93,No,
900341,247898,2025-04-05,51.58,No,
900342,348085,2025-04-06,84.65,No,
900343,221951,2025-04-06,99.88,No,
900344,214329,2025-04-06,60.46,No,
900345,357439,2025-04-06,91.45,No,
900346,258886,2025-04-06,38.06,No,
900347,358645,2025-04-06,85.60,No,
900348,343485,2025-04-06,70.23,No,
900349,328957,2025-04-06,83.09,No,
900350,307741,2025-04-06,112.69,No,
900351,205796,2025-04-06,41.04,No,
900352,250154,2025-04-06,103.45,No,
900353,283583,2025-04-06,38.67,No,
900354,248648,2025-04-06,20.00,No,
900355,318437,2025-04-06,61.30,No,
900356,369544,2025-04-06,56.84,No,
900357,364931,2025-04-06,93.70,No,
900358,358636,2025-04-06,37.43,No,
900359,226664,2025-04-06,26.57,No,
900360,323715,2025-04-06,102.76,No,
900361,267871,2025-04-06,71.48,No,
900362,228211,2025-04-06,74.65,No,
900363,318353,2025-04-06,96.58,No,
900364,228685,2025-04-06,38.35,No,
900365,241514,2025-04-06,56.42,No,
900366,226332,2025-04-06,60.81,No,
900367,257761,2025-04-06,34.84,No,
900368,266454,2025-04-06,64.31,No,
900369,233056,2025-04-06,62.71,No,
900370,372840,2025-04-06,89.59,No,
900371,312419,2025-04-06,59.01,No,
900372,213402,2025-04-06,100.44,No,
900373,260414,2025-04-06,71.51,No,
900374,293203,2025-04-06,88.56,No,
900375,319678,2025-04-06,52.45,No,
900376,376033,2025-04-06,99.59,No,
900377,204503,2025-04-06,83.58,No,
900378,243412,2025-04-06,53.71,No,
900379,201758,2025-04-06,73.73,No,
900380,372048,2025-04-06,60.49,No,
900381,267946,2025-04-06,71.04,No,
900382,202804,2025-04-06,41.35,No,
900383,294674,2025-04-06,73.17,No,
900384,277784,2025-04-06,95.39,No,
900385,225283,2025-04-06,34.01,No,
900386,212349,2025-04-06,95.25,No,
900387,288399,2025-04-06,43.16,No,
900388,316641,2025-04-06,83.07,No,
900389,205055,2025-04-06,71.14,No,
900390,374165,2025-04-06,69.40,No,
900391,373717,2025-04-06,64.88,No,
900392,332164,2025-04-06,69.78,No,
900393,266397,2025-04-06,70.29,No,
900394,280918,2025-04-06,94.63,No,
900395,223323,2025-04-06,87.94,No,
900396,321492,2025-04-06,94.24,No,
900397,284100,2025-04-06,69.51,No,
900398,238480,2025-04-06,95.30,No,
900399,358251,2025-04-06,76.03,No,
900400,328895,2025-04-06,60.05,No,
900401,315788,2025-04-06,42.70,No,
900402,358562,2025-04-06,57.58,No,
900403,297762,2025-04-06,87.75,No,
900404,217496,2025-04-06,60.96,No,
900405,269185,2025-04-06,61.25,No,
900406,252480,2025-04-06,80.69,No,
900407,227627,2025-04-06,68.06,No,
900408,315662,2025-04-06,76.45,No,
900409,348619,2025-04-06,76.52,No,
900410,248975,2025-04-06,72.22,No,
900411,330111,2025-04-06,55.74,No,
900412,246733,2025-04-06,67.93,No,
900413,341585,2025-04-06,67.99,No,
900414,336610,2025-04-06,130.08,No,
900415,289806,2025-04-06,90.67,No,
900416,324773,2025-04-06,88.91,No,
900417,322141,2025-04-06,62.82,No,
900418,212664,2025-04-07,56.60,No,
900419,244736,2025-04-07,72.22,No,
900420,352676,2025-04-07,78.97,No,
900421,201433,2025-04-07,83.47,No,
900422,289265,2025-04-07,38.49,No,
900423,328389,2025-04-07,42.19,No,
900424,253148,2025-04-07,58.92,No,
900425,311437,2025-04-07,69.33,No,
900426,338129,2025-04-07,98.07,No,
900427,253128,2025-04-07,20.00,No,
900428,205650,2025-04-07,59.80,No,
900429,346885,2025-04-07,81.78,No,
900430,204496,2025-04-07,60.94,No,
900431,203993,2025-04-07,63.56,No,
900432,296470,2025-04-07,78.42,No,
900433,360774,2025-04-07,40.70,No,
900434,296706,2025-04-07,83.58,No,
900435,312960,2025-04-07,77.56,No,
900436,232527,2025-04-07,65.31,No,
900437,269683,2025-04-07,93.74,No,
900438,317716,2025-04-07,51.02,No,
900439,245772,2025-04-07,66.63,No,
900440,219666,2025-04-07,67.73,No,
900441,277137,2025-04-07,67.38,No,
900442,270181,2025-04-07,72.26,No,
900443,219608,2025-04-07,84.68,No,
900444,353512,2025-04-07,42.44,No,
900445,310215,2025-04-07,54.68,No,
900446,362724,2025-04-07,64.20,No,
900447,249122,2025-04-07,55.31,No,
900448,326127,2025-04-07,72.92,No,
900449,294940,2025-04-07,67.05,No,
900450,291536,2025-04-07,85.65,No,
900451,255898,2025-04-07,51.67,No,
900452,330538,2025-04-07,58.82,No,
900453,236314,2025-04-07,106.41,No,
900454,225725,2025-04-07,76.64,No,
900455,296373,2025-04-07,90.22,No,
900456,222817,2025-04-07,101.08,No,
900457,295817,2025-04-07,68.04,No,
900458,257234,2025-04-07,78.96,No,
900459,209815,2025-04-07,87.36,No,
900460,344538,2025-04-07,49.20,No,
900461,365822,2025-04-07,85.30,No,
900462,238504,2025-04-07,42.46,No,
900463,339796,2025-04-07,101.65,No,
900464,311996,2025-04-07,90.48,No,
900465,294404,2025-04-07,62.78,No,
900466,309172,2025-04-07,62.26,No,
900467,251051,2025-04-07,58.05,No,
900468,201379,2025-04-07,74.35,No,
900469,287197,2025-04-07,58.95,No,
900470,302567,2025-04-07,49.28,No,
900471,342402,2025-04-07,72.12,No,
900472,250973,2025-04-07,32.25,No,
900473,247376,2025-04-07,88.26,No,
900474,307614,2025-04-07,61.93,No,
900475,371134,2025-04-07,33.00,No,
900476,290931,2025-04-07,36.80,No,
900477,275500,2025-04-07,59.19,No,
900478,364697,2025-04-07,99.62,No,
900479,248301,2025-04-07,70.92,No,
900480,313877,2025-04-07,76.75,No,
900481,222486,2025-04-07,93.42,No,
900482,252831,2025-04-08,66.55,No,
900483,258286,2025-04-08,90.16,No,
900484,215134,2025-04-08,25.00,No,
900485,301856,2025-04-08,94.35,No,
900486,361121,2025-04-08,108.94,No,
900487,363370,2025-04-08,59.54,No,
900488,373088,2025-04-08,112.46,No,
900489,347372,2025-04-08,119.66,No,
900490,373631,2025-04-08,45.70,No,
900491,204817,2025-04-08,51.75,No,
900492,298877,2025-04-08,79.62,No,
900493,302099,2025-04-08,71.76,No,
900494,262828,2025-04-08,95.23,No,
900495,219357,2025-04-08,78.92,No,
900496,342622,2025-04-08,91.62,No,
900497,218110,2025-04-08,61.12,No,
900498,351602,2025-04-08,110.80,No,
900499,201806,2025-04-08,64.89,No,
900500,359785,2025-04-08,49.87,No,
900501,330214,2025-04-08,66.95,No,
900502,210633,2025-04-08,48.66,No,
900503,258085,2025-04-08,56.79,No,
900504,325975,2025-04-08,87.64,No,
900505,292980,2025-04-08,72.90,No,
900506,341029,2025-04-08,72.81,No,
900507,368841,2025-04-08,78.78,No,
900508,204299,2025-04-08,88.48,No,
900509,203148,2025-04-08,48.26,No,
900510,307960,2025-04-08,77.58,No,
900511,332031,2025-04-08,40.41,No,
900512,367274,2025-04-08,56.47,No,
900513,266061,2025-04-08,38.84,No,
900514,267249,2025-04-08,98.25,No,
900515,220723,2025-04-08,57.54,No,
900516,301482,2025-04-08,54.15,No,
900517,302784,2025-04-08,68.35,No,
900518,359270,2025-04-08,76.45,No,
900519,228805,2025-04-08,102.97,No,
900520,259952,2025-04-08,114.10,No,
900521,349624,2025-04-08,66.40,No,
900522,366369,2025-04-08,60.02,No,
900523,235849,2025-04-08,97.99,No,
900524,249813,2025-04-08,63.32,No,
900525,262480,2025-04-08,72.29,No,
900526,282390,2025-04-08,97.51,No,
900527,225244,2025-04-08,91.58,No,
900528,339437,2025-04-08,87.11,No,
900529,286799,2025-04-08,85.13,No,
900530,374721,2025-04-08,61.72,No,
900531,280159,2025-04-08,43.17,No,
900532,316999,2025-04-08,105.54,No,
900533,232057,2025-04-08,66.95,No,
900534,311545,2025-04-08,86.50,No,
900535,248990,2025-04-08,75.90,No,
900536,316752,2025-04-08,74.98,No,
900537,337885,2025-04-08,60.87,No,
900538,234071,2025-04-08,55.72,No,
900539,351862,2025-04-08,85.28,No,
900540,277493,2025-04-08,71.61,No,
900541,235596,2025-04-08,83.61,No,
900542,322653,2025-04-08,55.98,No,
900543,208823,2025-04-08,72.17,No,
900544,349710,2025-04-08,95.33,No,
900545,352658,2025-04-08,79.57,No,
900546,212087,2025-04-08,53.60,No,
900547,201813,2025-04-08,40.46,No,
900548,247212,2025-04-08,101.84,No,
900549,325774,2025-04-08,85.33,No,
900550,371321,2025-04-08,69.42,No,
900551,291735,2025-04-09,92.04,No,
900552,358187,2025-04-09,52.42,No,
900553,221259,2025-04-09,62.21,No,
900554,340578,2025-04-09,43.60,No,
900555,360804,2025-04-09,69.46,No,
900556,300500,2025-04-09,67.69,No,
900557,360323,2025-04-09,50.81,No,
900558,262008,2025-04-09,39.75,No,
900559,250183,2025-04-09,65.51,No,
900560,331332,2025-04-09,124.20,No,
900561,262973,2025-04-09,93.80,No,
900562,264312,2025-04-09,57.66,No,
900563,317071,2025-04-09,76.10,No,
900564,378666,2025-04-09,65.41,No,
900565,283573,2025-04-09,102.41,No,
900566,271440,2025-04-09,80.04,No,
900567,311046,2025-04-09,64.11,No,
900568,319236,2025-04-09,32.21,No,
900569,293148,2025-04-09,72.41,No,
900570,230132,2025-04-09,53.80,No,
900571,376752,2025-04-09,68.97,No,
900572,308603,2025-04-09,69.69,No,
900573,302841,2025-04-09,92.51,No,
900574,208644,2025-04-09,89.50,No,
900575,314309,2025-04-09,90.37,No,
900576,339997,2025-04-09,103.66,No,
900577,362317,2025-04-09,77.79,No,
900578,277851,2025-04-09,69.57,No,
900579,273868,2025-04-09,32.34,Yes,2025-04-10
900580,222707,2025-04-09,55.47,No,
900581,357366,2025-04-09,70.29,No,
900582,300111,2025-04-09,53.51,No,
900583,356591,2025-04-09,61.30,No,
900584,212608,2025-04-09,51.26,No,
900585,268394,2025-04-09,93.47,No,
900586,347919,2025-04-09,51.42,No,
900587,237943,2025-04-09,77.50,No,
900588,344108,2025-04-09,55.11,No,
900589,315448,2025-04-09,35.84,No,
900590,280610,2025-04-09,67.67,No,
900591,318768,2025-04-09,90.90,No,
900592,362364,2025-04-09,82.62,No,
900593,337595,2025-04-09,70.27,No,
900594,208332,2025-04-09,54.20,No,
900595,248541,2025-04-09,20.76,No,
900596,299971,2025-04-09,69.78,No,
900597,240366,2025-04-09,25.55,No,
900598,328789,2025-04-09,76.42,No,
900599,285774,2025-04-09,57.61,No,
900600,275676,2025-04-09,65.20,No,
900601,358890,2025-04-09,57.96,No,
900602,285110,2025-04-09,76.94,No,
900603,245662,2025-04-09,49.54,No,
900604,248823,2025-04-09,83.87,No,
900605,288241,2025-04-09,65.71,No,
900606,258729,2025-04-09,74.96,No,
900607,265814,2025-04-09,44.35,No,
900608,203284,2025-04-09,56.25,No,
900609,375726,2025-04-09,37.98,No,
900610,355008,2025-04-09,75.86,No,
900611,307405,2025-04-09,85.54,No,
900612,214119,2025-04-09,46.71,No,
900613,375092,2025-04-09,94.12,No,
900614,241799,2025-04-09,55.28,No,
900615,305928,2025-04-09,62.43,No,
900616,336878,2025-04-09,63.11,Yes,2025-04-10
900617,203696,2025-04-09,74.50,No,
900618,202475,2025-04-09,68.27,No,
900619,303106,2025-04-09,70.99,No,
900620,248056,2025-04-09,54.67,No,
900621,231565,2025-04-10,41.44,No,
900622,281353,2025-04-10,65.93,No,
900623,243580,2025-04-10,63.71,No,
900624,243194,2025-04-10,63.87,No,
900625,291917,2025-04-10,63.16,No,
900626,356559,2025-04-10,78.65,No,
900627,230481,2025-04-10,96.09,No,
900628,245669,2025-04-10,83.57,No,
900629,348104,2025-04-10,73.65,No,
900630,331041,2025-04-10,91.74,No,
900631,324594,2025-04-10,48.11,No,
900632,264612,2025-04-10,73.13,No,
900633,264830,2025-04-10,90.57,No,
900634,342142,2025-04-10,86.14,No,
900635,376983,2025-04-10,31.23,No,
900636,250343,2025-04-10,123.27,No,
900637,219374,2025-04-10,42.76,No,
900638,221573,2025-04-10,59.99,No,
900639,218098,2025-04-10,94.03,No,
900640,282174,2025-04-10,69.95,No,
900641,200692,2025-04-10,75.46,No,
900642,278220,2025-04-10,50.64,No,
900643,228245,2025-04-10,40.73,No,
900644,207149,2025-04-10,59.92,No,
900645,290010,2025-04-10,63.05,No,
900646,332857,2025-04-10,67.14,No,
900647,209463,2025-04-10,71.68,Yes,2025-04-12
900648,374821,2025-04-10,98.28,No,
900649,283893,2025-04-10,104.06,Yes,2025-04-13
900650,342868,2025-04-10,53.83,No,
900651,233660,2025-04-10,76.91,No,
900652,260009,2025-04-10,103.51,No,
900653,344361,2025-04-10,78.15,No,
900654,369788,2025-04-10,56.67,No,
900655,289773,2025-04-10,98.54,No,
900656,219731,2025-04-10,91.65,No,
900657,255089,2025-04-10,94.76,No,
900658,367672,2025-04-10,81.00,No,
900659,257652,2025-04-10,76.29,No,
900660,348137,2025-04-10,75.53,No,
900661,265639,2025-04-10,57.02,No,
900662,327999,2025-04-10,42.03,No,
900663,330761,2025-04-10,84.88,No,
900664,376542,2025-04-10,90.73,Yes,2025-04-11
900665,316226,2025-04-10,77.12,No,
900666,248800,2025-04-10,94.93,No,
900667,266876,2025-04-10,73.78,No,
900668,337463,2025-04-10,88.20,No,
900669,324105,2025-04-10,82.50,No,
900670,371005,2025-04-10,57.10,No,
900671,313785,2025-04-10,95.73,No,
900672,298721,2025-04-10,72.83,No,
900673,336627,2025-04-10,57.53,No,
900674,314552,2025-04-10,92.60,No,
900675,237870,2025-04-10,79.77,No,
900676,350912,2025-04-10,90.34,No,
900677,349457,2025-04-10,123.39,No,
900678,219649,2025-04-10,54.82,No,
900679,204338,2025-04-10,47.09,No,
900680,234784,2025-04-10,89.32,No,
900681,341806,2025-04-10,58.04,No,
900682,300647,2025-04-10,73.80,No,
900683,274286,2025-04-10,100.98,No,
900684,202826,2025-04-10,78.74,No,
900685,368623,2025-04-10,73.54,No,
900686,295868,2025-04-10,66.27,No,
900687,361055,2025-04-10,47.96,No,
900688,222729,2025-04-10,88.66,No,
900689,347094,2025-04-10,87.21,No,
900690,361810,2025-04-10,64.67,No,
900691,258560,2025-04-10,77.23,No,
900692,204320,2025-04-10,80.08,No,
900693,329960,2025-04-11,52.52,No,
