Email name,Subject,Audience,Date sent,Sends,Delivered,Opens,Clicks,Unsubscribes
2026-01-07 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-07,572,558,197,36,1
2026-01-07 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-07,412,408,167,30,0
2026-01-08 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-08,1550,1526,477,77,1
2026-01-08 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-08,642,628,202,37,1
2026-01-08 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-08,854,842,261,42,1
2026-01-08 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-08,996,972,259,40,1
2026-01-09 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-09,1085,1061,319,51,1
2026-01-09 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-09,1225,1209,315,48,1
2026-01-10 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-10,705,687,225,40,1
2026-01-11 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-11,1603,1570,511,82,1
2026-01-12 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-12,894,882,284,45,1
2026-01-12 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-12,1164,1149,307,45,1
2026-01-12 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-12,423,413,181,29,0
2026-01-14 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-14,571,565,199,35,1
2026-01-14 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-14,1013,999,279,42,1
2026-01-15 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-15,14009,13659,2322,308,22
2026-01-15 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-15,911,888,260,43,1
2026-01-15 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-15,350,342,146,27,0
2026-01-17 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-17,1134,1121,295,46,1
2026-01-18 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-18,1489,1455,466,74,1
2026-01-18 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-18,655,648,218,41,1
2026-01-18 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-18,838,825,256,39,1
2026-01-19 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-19,1737,1695,520,88,2
2026-01-19 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-19,388,379,163,29,0
2026-01-20 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-20,871,856,271,43,1
2026-01-21 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-21,995,974,296,50,1
2026-01-21 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-21,1001,981,271,43,1
2026-01-22 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-22,672,658,223,41,1
2026-01-23 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-23,1439,1423,436,79,1
2026-01-23 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-23,653,637,223,38,1
2026-01-23 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-23,404,395,162,32,0
2026-01-24 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-24,369,360,145,28,0
2026-01-25 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-25,1872,1843,585,100,2
2026-01-25 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-25,737,718,247,47,1
2026-01-25 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-25,1101,1074,303,47,1
2026-01-25 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-25,376,370,160,28,0
2026-01-26 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-26,979,967,300,51,1
2026-01-26 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-26,1228,1204,336,51,1
2026-01-28 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-28,1624,1587,501,82,1
2026-01-28 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-28,430,423,185,32,0
2026-01-29 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-01-29,15769,15375,2683,355,25
2026-01-29 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-29,1857,1831,567,97,2
2026-01-29 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-01-29,900,883,274,45,1
2026-01-29 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-29,1234,1217,345,52,1
2026-01-29 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-01-29,395,385,172,29,0
2026-01-31 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-01-31,1754,1711,575,92,2
2026-01-31 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-01-31,649,633,213,38,1
2026-01-31 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-01-31,1111,1099,302,45,1
2026-02-01 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-01,14013,13663,2341,307,22
2026-02-01 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-01,1830,1783,585,91,2
2026-02-01 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-01,1006,989,285,40,1
2026-02-01 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-01,428,419,172,31,0
2026-02-02 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-02,14886,14514,2511,342,23
2026-02-02 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-02,1807,1768,579,92,2
2026-02-02 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-02,692,684,231,43,1
2026-02-03 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-03,13320,12987,2426,312,21
2026-02-04 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-04,1041,1015,269,43,1
2026-02-04 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-04,429,423,182,34,0
2026-02-05 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-05,938,920,276,48,1
2026-02-05 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-05,438,432,184,35,0
2026-02-06 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-06,1000,982,295,49,1
2026-02-07 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-07,888,872,260,45,1
2026-02-07 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-07,1303,1285,365,51,1
2026-02-07 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-07,385,380,168,31,0
2026-02-08 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-08,1695,1664,566,95,1
2026-02-08 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-08,1194,1179,341,50,1
2026-02-09 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-09,1575,1536,499,85,1
2026-02-09 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-09,1123,1111,355,54,1
2026-02-09 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-09,1220,1194,319,50,1
2026-02-10 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-10,413,407,182,32,0
2026-02-11 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-11,1652,1619,502,92,1
2026-02-11 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-11,637,630,221,42,1
2026-02-11 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-11,1261,1232,351,55,1
2026-02-12 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-12,1656,1626,539,89,1
2026-02-12 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-12,720,702,250,46,1
2026-02-13 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-13,15127,14749,2672,323,24
2026-02-13 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-13,1022,1005,300,53,1
2026-02-13 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-13,1214,1199,340,51,1
2026-02-13 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-13,355,349,156,26,0
2026-02-14 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-14,13408,13073,2308,312,21
2026-02-14 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-14,1142,1113,362,59,1
2026-02-14 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-14,453,445,194,35,0
2026-02-15 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-15,796,783,269,51,1
2026-02-15 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-15,1023,1011,276,43,1
2026-02-15 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-15,369,363,149,29,0
2026-02-16 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-16,13603,13263,2525,310,21
2026-02-16 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-16,1129,1110,305,49,1
2026-02-17 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-17,1086,1058,328,54,1
2026-02-17 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-17,1113,1101,310,45,1
2026-02-18 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-18,878,861,268,46,1
2026-02-19 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-19,13381,13046,2516,298,21
2026-02-19 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-19,753,744,248,50,1
2026-02-19 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-19,418,408,170,33,0
2026-02-20 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-20,13044,12718,2405,285,20
2026-02-20 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-20,1073,1055,316,57,1
2026-02-21 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-21,626,614,222,39,1
2026-02-21 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-21,1246,1218,346,54,1
2026-02-22 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-22,754,741,254,50,1
2026-02-22 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-22,1118,1096,357,57,1
2026-02-23 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-23,1834,1807,596,104,2
2026-02-23 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-23,1211,1181,320,48,1
2026-02-23 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-23,412,405,169,31,0
2026-02-24 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-24,12207,11902,2179,297,19
2026-02-24 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-24,798,779,264,52,1
2026-02-24 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-02-24,1215,1191,340,50,1
2026-02-24 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-24,459,452,195,34,0
2026-02-25 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-25,365,361,162,29,0
2026-02-26 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-02-26,687,674,239,45,1
2026-02-26 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-02-26,1041,1024,330,52,1
2026-02-27 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-27,1870,1842,598,101,2
2026-02-27 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-27,387,382,163,29,0
2026-02-28 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-02-28,13621,13280,2401,324,21
2026-02-28 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-02-28,1781,1760,552,102,2
2026-02-28 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-02-28,392,383,157,30,0
2026-03-01 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-01,12727,12409,2294,293,20
2026-03-01 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-01,1056,1039,298,46,1
2026-03-01 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-01,424,414,179,34,0
2026-03-02 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-02,697,688,242,43,1
2026-03-02 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-02,1132,1114,339,59,1
2026-03-03 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-03,666,654,222,44,1
2026-03-04 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-04,13405,13070,2551,304,21
2026-03-04 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-04,799,780,283,50,1
2026-03-04 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-04,1156,1130,349,55,1
2026-03-04 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-04,385,377,169,28,0
2026-03-05 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-05,12808,12488,2249,306,20
2026-03-05 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-05,790,777,265,53,1
2026-03-05 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-05,1110,1091,357,57,1
2026-03-06 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-06,1123,1098,313,46,1
2026-03-06 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-06,459,452,199,38,0
2026-03-07 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-07,11995,11695,2172,266,19
2026-03-07 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-07,1902,1862,631,99,2
2026-03-07 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-07,1295,1273,356,58,1
2026-03-08 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-08,1864,1817,602,96,2
2026-03-08 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-08,740,724,264,47,1
2026-03-08 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-08,1074,1056,329,54,1
2026-03-09 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-09,1765,1744,574,95,2
2026-03-09 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-09,1269,1253,353,54,1
2026-03-09 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-09,472,465,194,35,0
2026-03-10 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-10,670,658,231,42,1
2026-03-10 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-10,985,973,304,49,1
2026-03-10 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-10,461,456,199,38,0
2026-03-11 New Leads - lifecycle,Your 3-step routine starts here,New Leads,2026-03-11,1787,1742,605,95,2
2026-03-11 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-11,908,889,293,47,1
2026-03-11 VIP Loyalists - lifecycle,Early access: your VIP drop is live,VIP Loyalists,2026-03-11,460,451,192,37,0
2026-03-12 Monthly Newsletter (Batch),Monthly news + featured products,All contacts (batch),2026-03-12,12522,12209,2302,314,20
2026-03-12 First-Time Buyers - lifecycle,How to get the most from your serum,First-Time Buyers,2026-03-12,959,942,298,50,1
2026-03-12 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-12,1037,1021,295,43,1
2026-03-14 Cart Abandoners - lifecycle,Still thinking it over? 10% inside,Cart Abandoners,2026-03-14,702,685,229,48,1
2026-03-14 Lapsed Customers - lifecycle,We miss you - here's 15% back,Lapsed Customers,2026-03-14,1154,1135,336,52,1
