Search keyword report
"Apr 01, 2025 - Apr 30, 2026"
Day,Campaign,Ad group,Search keyword,Match type,Keyword status,Label,Impressions,Clicks,Cost,Conversions,Conv. value
2025-04-03,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,16352,413,785.49,21.6,1556.75
2025-04-03,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,13231,309,623.41,20.0,1173.44
2025-04-03,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,14448,280,597.79,19.9,1148.46
2025-04-03,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,10025,211,409.19,12.8,818.69
2025-04-03,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,8460,184,388.86,12.9,671.13
2025-04-03,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,8343,160,345.41,10.0,634.57
2025-04-03,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,8261,165,340.40,10.5,613.73
2025-04-03,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6004,114,242.67,7.6,439.36
2025-04-03,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,7042,147,306.44,9.6,557.41
2025-04-03,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5889,122,234.14,8.3,452.42
2025-04-03,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,3050,74,137.03,4.8,291.82
2025-04-03,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,7540,166,352.87,10.2,654.11
2025-04-03,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,6879,150,306.56,9.1,536.81
2025-04-04,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,16695,361,827.60,21.9,1414.57
2025-04-04,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,13808,311,612.07,21.4,1154.52
2025-04-04,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,12155,261,626.30,16.4,1102.37
2025-04-04,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,8788,191,441.07,13.0,789.36
2025-04-04,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,8637,168,381.10,12.8,693.32
2025-04-04,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,7831,159,321.00,10.6,654.01
2025-04-04,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7140,161,318.38,10.5,607.48
2025-04-04,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4872,105,255.29,7.8,445.69
2025-04-04,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6310,128,289.59,8.1,528.94
2025-04-04,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5493,117,240.52,7.1,471.99
2025-04-04,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2908,64,136.16,4.9,260.74
2025-04-04,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,7255,148,319.53,9.9,701.97
2025-04-04,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,7034,146,294.13,8.9,574.48
2025-04-05,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,20164,400,860.49,28.9,1376.92
2025-04-05,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,14144,306,654.62,18.8,1285.59
2025-04-05,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,14275,290,626.76,17.7,1065.58
2025-04-05,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9736,234,415.91,15.7,856.61
2025-04-05,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,10126,207,419.48,12.2,710.74
2025-04-05,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,8704,172,374.20,12.0,641.47
2025-04-05,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,8630,157,346.35,12.1,612.78
2025-04-05,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6129,115,235.20,8.6,492.49
2025-04-05,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6942,135,284.10,9.1,562.82
2025-04-05,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5892,130,240.75,8.6,519.13
2025-04-05,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,3285,75,152.05,5.4,260.57
2025-04-05,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,8401,162,367.92,10.0,702.02
2025-04-05,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,7631,147,299.52,10.3,615.82
2025-04-06,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,14339,362,680.88,26.1,1422.98
2025-04-06,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,13657,260,552.91,18.7,1137.31
2025-04-06,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,11894,239,585.12,17.4,1104.63
2025-04-06,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9705,191,428.70,14.9,767.24
2025-04-06,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,8074,166,341.86,10.7,752.70
2025-04-06,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6674,147,319.58,11.5,588.72
2025-04-06,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7069,143,347.43,9.7,610.15
2025-04-06,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4958,106,247.26,7.4,435.67
2025-04-06,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,5723,138,283.36,8.2,561.84
2025-04-06,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5032,113,244.12,6.7,472.80
2025-04-06,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,3142,61,131.97,4.4,291.47
2025-04-06,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,7469,147,340.33,11.3,555.72
2025-04-06,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,6454,119,260.01,8.3,549.55
2025-04-07,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,16112,336,775.74,26.9,1478.57
2025-04-07,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,14060,304,611.02,19.5,1307.68
2025-04-07,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,13020,265,576.13,16.5,1127.99
2025-04-07,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9985,188,415.46,15.2,886.36
2025-04-07,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,8524,189,407.30,11.7,693.92
2025-04-07,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6691,148,344.87,11.8,713.77
2025-04-07,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7707,150,316.43,9.9,612.98
2025-04-07,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,5359,109,239.01,7.3,466.89
2025-04-07,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6565,130,287.25,9.3,561.57
2025-04-07,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5056,106,231.17,8.5,442.92
2025-04-07,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2851,69,154.32,4.3,279.92
2025-04-07,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,6625,167,354.74,10.8,676.51
2025-04-07,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,6194,136,276.03,10.1,585.25
2025-04-08,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,14575,336,626.97,19.2,1353.44
2025-04-08,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,13146,248,538.71,19.5,1164.86
2025-04-08,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,11288,254,485.04,15.6,1085.43
2025-04-08,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,8641,168,377.03,11.6,786.66
2025-04-08,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7476,159,333.50,10.7,720.91
2025-04-08,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6769,144,307.42,10.2,604.14
2025-04-08,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,6618,139,295.39,8.6,620.50
2025-04-08,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4860,102,189.84,6.6,402.06
2025-04-08,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,5262,130,234.90,7.5,463.62
2025-04-08,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4805,98,211.36,6.6,383.53
2025-04-08,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2962,62,124.40,3.9,267.45
2025-04-08,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,6263,140,262.24,8.5,528.21
2025-04-08,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,5351,115,228.12,8.8,522.28
2025-04-09,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,14319,320,724.29,20.7,1332.04
2025-04-09,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,11497,268,578.93,19.7,1246.25
2025-04-09,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,10332,227,519.55,16.2,1049.46
2025-04-09,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,8015,187,398.95,13.3,812.78
2025-04-09,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7152,159,336.20,12.7,644.55
2025-04-09,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,7044,144,300.94,10.3,626.94
2025-04-09,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,6123,133,292.72,9.9,630.40
2025-04-09,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4491,105,230.70,7.9,448.37
2025-04-09,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6050,125,261.69,7.9,502.65
2025-04-09,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4495,108,229.21,7.1,461.39
2025-04-09,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,3019,60,126.86,4.0,282.85
2025-04-09,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,6532,142,314.06,9.9,584.66
2025-04-09,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,5625,111,245.07,8.9,535.50
2025-04-10,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,14469,333,697.54,19.8,1311.61
2025-04-10,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,13341,256,505.45,18.5,1020.07
2025-04-10,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,10933,241,497.69,17.7,1051.88
2025-04-10,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9033,183,352.55,13.1,731.78
2025-04-10,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7232,173,353.12,10.6,640.08
2025-04-10,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,6816,148,296.34,9.3,596.57
2025-04-10,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,6014,144,298.77,9.1,600.10
2025-04-10,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4687,96,194.92,7.0,406.61
2025-04-10,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,5600,125,227.58,7.9,509.30
2025-04-10,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4629,100,211.22,6.2,396.40
2025-04-10,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2929,62,132.56,4.1,258.68
2025-04-10,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,6006,134,301.02,9.7,561.77
2025-04-10,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,5566,123,256.28,9.0,485.68
2025-04-11,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,15205,328,712.15,22.2,1429.25
2025-04-11,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,12799,284,578.97,19.1,1089.92
2025-04-11,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,10405,239,538.61,17.0,951.24
2025-04-11,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9270,175,359.22,12.8,766.25
2025-04-11,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7604,164,364.16,11.6,651.19
2025-04-11,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,7268,146,304.84,9.7,614.91
2025-04-11,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7103,137,275.30,9.7,588.09
2025-04-11,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4537,103,210.10,7.3,470.83
2025-04-11,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,5586,114,238.74,8.4,526.85
2025-04-11,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4814,107,222.08,7.4,460.76
2025-04-11,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2790,65,129.57,4.3,236.95
2025-04-11,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,7120,135,300.48,9.0,542.54
2025-04-11,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,6035,117,241.61,9.1,543.63
2025-04-12,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,15440,403,735.97,27.1,1557.76
2025-04-12,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,13086,321,677.29,23.4,1215.75
2025-04-12,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,11845,312,572.23,19.7,1291.41
2025-04-12,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9214,230,420.06,13.9,811.78
2025-04-12,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,9236,187,410.48,13.2,748.35
2025-04-12,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,8136,172,353.67,11.0,741.06
2025-04-12,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,6759,176,331.62,12.9,641.43
2025-04-12,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4828,124,249.35,7.5,520.38
2025-04-12,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6823,148,294.18,10.0,579.34
2025-04-12,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,5408,121,223.41,8.2,483.67
2025-04-12,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2885,69,153.76,4.7,294.99
2025-04-12,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,6672,177,321.02,12.3,656.75
2025-04-12,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,6317,143,264.81,9.2,551.78
2025-04-13,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,15939,373,708.53,22.7,1525.10
2025-04-13,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,12755,293,603.72,18.1,1278.47
2025-04-13,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,12428,271,567.78,17.5,1192.76
2025-04-13,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,9250,211,410.03,12.6,806.71
2025-04-13,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,8053,170,371.89,11.2,694.19
2025-04-13,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,7654,142,323.86,10.0,612.07
2025-04-13,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,7659,158,320.74,10.0,630.79
2025-04-13,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,5634,106,238.07,7.1,472.79
2025-04-13,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,6484,140,280.95,8.3,575.62
2025-04-13,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4992,115,243.55,8.4,499.07
2025-04-13,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,3190,65,147.21,4.4,270.07
2025-04-13,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Enabled,Untiered - Broad,7305,161,297.73,10.2,709.61
2025-04-13,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Enabled,Untiered - Broad,6142,130,262.15,9.0,604.47
2025-04-14,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Enabled,Tier 1 - High Intent,13074,310,675.46,25.6,1331.85
2025-04-14,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Enabled,Tier 1 - High Intent,11907,268,522.45,20.9,1094.16
2025-04-14,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Enabled,Tier 1 - High Intent,11023,250,499.94,17.4,1130.56
2025-04-14,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Enabled,Tier 1 - High Intent,7458,160,394.30,13.3,828.15
2025-04-14,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Enabled,Tier 2 - Mid Intent,7794,157,311.54,11.3,670.77
2025-04-14,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,5896,127,308.14,9.3,645.49
2025-04-14,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Enabled,Tier 2 - Mid Intent,6705,129,286.03,9.4,661.87
2025-04-14,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Enabled,Tier 2 - Mid Intent,4671,100,199.37,8.2,469.43
2025-04-14,Brand Defense,Brand Core,pureglow skincare,Exact match,Enabled,Tier 3 - Brand Defense,5322,121,238.02,7.8,531.34
2025-04-14,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Enabled,Tier 3 - Brand Defense,4647,97,197.72,6.8,449.81
2025-04-14,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Enabled,Tier 3 - Brand Defense,2892,61,125.39,4.4,236.73
