Record ID,Deal Name,Deal Stage,Pipeline,Amount,Create Date,Close Date,Associated Contact ID,Deal owner,Google ad click id,Customer first order date
500065,Order 500065,Closed won,Ecommerce Pipeline,51.33,2025-12-01,2025-12-01,200123,PureGlow Storefront,Cj0KCQ42x00000094AbVxYz,2025-12-01
500066,Order 500066,Closed won,Ecommerce Pipeline,86.41,2025-12-01,2025-12-01,200124,PureGlow Storefront,Cj0KCQ42x00000095AbVxYz,2025-12-01
500067,Order 500067,Closed won,Ecommerce Pipeline,18.39,2025-12-01,2025-12-01,200125,PureGlow Storefront,Cj0KCQ42x00000096AbVxYz,2025-12-01
500068,Order 500068,Closed won,Ecommerce Pipeline,57.33,2025-12-01,2025-12-01,200126,PureGlow Storefront,Cj0KCQ42x00000097AbVxYz,2025-12-01
500069,Order 500069,Closed won,Ecommerce Pipeline,104.97,2025-12-01,2025-12-01,200127,PureGlow Storefront,Cj0KCQ42x00000098AbVxYz,2025-12-01
500070,Order 500070,Closed won,Ecommerce Pipeline,73.99,2025-12-01,2025-12-01,200128,PureGlow Storefront,Cj0KCQ42x00000099AbVxYz,2025-12-01
500071,Order 500071,Closed won,Ecommerce Pipeline,23.31,2025-12-01,2025-12-01,200109,PureGlow Storefront,Cj0KCQ42x00000100AbVxYz,2025-12-01
500072,Order 500072,Closed won,Ecommerce Pipeline,60.61,2025-12-01,2025-12-01,200129,PureGlow Storefront,Cj0KCQ42x00000101AbVxYz,2025-12-01
500073,Order 500073,Closed won,Ecommerce Pipeline,69.39,2025-12-01,2025-12-01,181281,PureGlow Storefront,Cj0KCQ42x00000102AbVxYz,2025-07-15
500074,Order 500074,Closed won,Ecommerce Pipeline,86.07,2025-12-01,2025-12-01,200130,PureGlow Storefront,Cj0KCQ42x00000103AbVxYz,2025-12-01
500075,Order 500075,Closed won,Ecommerce Pipeline,54.66,2025-12-01,2025-12-01,200131,PureGlow Storefront,Cj0KCQ42x00000104AbVxYz,2025-12-01
500076,Order 500076,Closed won,Ecommerce Pipeline,42.31,2025-12-01,2025-12-01,200132,PureGlow Storefront,Cj0KCQ42x00000105AbVxYz,2025-12-01
500077,Order 500077,Closed won,Ecommerce Pipeline,57.91,2025-12-01,2025-12-01,173381,PureGlow Storefront,Cj0KCQ42x00000106AbVxYz,2025-11-03
500078,Order 500078,Closed won,Ecommerce Pipeline,53.28,2025-12-01,2025-12-01,200133,PureGlow Storefront,Cj0KCQ42x00000107AbVxYz,2025-12-01
500079,Order 500079,Closed won,Ecommerce Pipeline,75.97,2025-12-01,2025-12-01,200134,PureGlow Storefront,Cj0KCQ42x00000108AbVxYz,2025-12-01
500080,Order 500080,Closed won,Ecommerce Pipeline,42.00,2025-12-01,2025-12-01,200135,PureGlow Storefront,Cj0KCQ42x00000109AbVxYz,2025-12-01
500081,Order 500081,Closed won,Ecommerce Pipeline,100.81,2025-12-01,2025-12-01,200136,PureGlow Storefront,Cj0KCQ42x00000110AbVxYz,2025-12-01
500082,Order 500082,Closed won,Ecommerce Pipeline,76.46,2025-12-01,2025-12-01,189079,PureGlow Storefront,Cj0KCQ42x00000111AbVxYz,2025-07-13
500083,Order 500083,Closed won,Ecommerce Pipeline,98.60,2025-12-01,2025-12-01,200137,PureGlow Storefront,,2025-12-01
500084,Order 500084,Closed won,Ecommerce Pipeline,72.73,2025-12-01,2025-12-01,140667,PureGlow Storefront,Cj0KCQ42x00000112AbVxYz,2025-06-14
500085,Order 500085,Closed won,Ecommerce Pipeline,57.64,2025-12-01,2025-12-01,183640,PureGlow Storefront,,2025-07-10
500086,Order 500086,Closed won,Ecommerce Pipeline,68.39,2025-12-01,2025-12-01,200138,PureGlow Storefront,Cj0KCQ42x00000113AbVxYz,2025-12-01
500087,Order 500087,Closed won,Ecommerce Pipeline,87.53,2025-12-01,2025-12-01,200139,PureGlow Storefront,Cj0KCQ42x00000114AbVxYz,2025-12-01
500088,Order 500088,Closed won,Ecommerce Pipeline,85.01,2025-12-01,2025-12-01,169363,PureGlow Storefront,Cj0KCQ42x00000115AbVxYz,2025-10-23
500089,Order 500089,Closed won,Ecommerce Pipeline,86.98,2025-12-01,2025-12-01,200140,PureGlow Storefront,Cj0KCQ42x00000116AbVxYz,2025-12-01
500090,Order 500090,Closed won,Ecommerce Pipeline,101.95,2025-12-01,2025-12-01,174166,PureGlow Storefront,Cj0KCQ42x00000117AbVxYz,2025-01-13
500091,Order 500091,Closed won,Ecommerce Pipeline,55.81,2025-12-01,2025-12-01,200141,PureGlow Storefront,Cj0KCQ42x00000118AbVxYz,2025-12-01
500092,Order 500092,Closed won,Ecommerce Pipeline,38.25,2025-12-01,2025-12-01,182964,PureGlow Storefront,Cj0KCQ42x00000119AbVxYz,2025-08-30
500093,Order 500093,Closed won,Ecommerce Pipeline,82.58,2025-12-01,2025-12-01,177320,PureGlow Storefront,Cj0KCQ42x00000120AbVxYz,2025-09-16
500094,Order 500094,Closed won,Ecommerce Pipeline,71.94,2025-12-01,2025-12-01,200142,PureGlow Storefront,Cj0KCQ42x00000121AbVxYz,2025-12-01
500095,Order 500095,Closed won,Ecommerce Pipeline,71.73,2025-12-01,2025-12-01,200143,PureGlow Storefront,Cj0KCQ42x00000122AbVxYz,2025-12-01
500096,Order 500096,Closed won,Ecommerce Pipeline,64.91,2025-12-01,2025-12-01,200144,PureGlow Storefront,Cj0KCQ42x00000123AbVxYz,2025-12-01
500097,Order 500097,Closed won,Ecommerce Pipeline,60.59,2025-12-01,2025-12-01,111296,PureGlow Storefront,Cj0KCQ42x00000124AbVxYz,2025-04-24
500098,Order 500098,Closed won,Ecommerce Pipeline,70.42,2025-12-01,2025-12-01,200145,PureGlow Storefront,Cj0KCQ42x00000125AbVxYz,2025-12-01
500099,Order 500099,Closed won,Ecommerce Pipeline,61.54,2025-12-01,2025-12-01,200146,PureGlow Storefront,,2025-12-01
500100,Order 500100,Closed won,Ecommerce Pipeline,23.49,2025-12-01,2025-12-01,124234,PureGlow Storefront,Cj0KCQ42x00000126AbVxYz,2025-07-30
500101,Order 500101,Closed won,Ecommerce Pipeline,67.96,2025-12-01,2025-12-01,200147,PureGlow Storefront,Cj0KCQ42x00000127AbVxYz,2025-12-01
500102,Order 500102,Closed won,Ecommerce Pipeline,47.15,2025-12-01,2025-12-01,152576,PureGlow Storefront,Cj0KCQ42x00000128AbVxYz,2025-11-02
500103,Order 500103,Closed won,Ecommerce Pipeline,91.02,2025-12-01,2025-12-01,200148,PureGlow Storefront,Cj0KCQ42x00000129AbVxYz,2025-12-01
500104,Order 500104,Closed won,Ecommerce Pipeline,57.25,2025-12-01,2025-12-01,179737,PureGlow Storefront,Cj0KCQ42x00000130AbVxYz,2025-01-07
500105,Order 500105,Closed won,Ecommerce Pipeline,47.81,2025-12-01,2025-12-01,184046,PureGlow Storefront,Cj0KCQ42x00000131AbVxYz,2024-10-11
500106,Order 500106,Closed won,Ecommerce Pipeline,34.42,2025-12-01,2025-12-01,132823,PureGlow Storefront,Cj0KCQ42x00000132AbVxYz,2024-12-02
500107,Order 500107,Closed won,Ecommerce Pipeline,63.12,2025-12-01,2025-12-01,187096,PureGlow Storefront,Cj0KCQ42x00000133AbVxYz,2025-04-02
500108,Order 500108,Closed won,Ecommerce Pipeline,61.71,2025-12-01,2025-12-01,200149,PureGlow Storefront,Cj0KCQ42x00000134AbVxYz,2025-12-01
500109,Order 500109,Closed won,Ecommerce Pipeline,54.41,2025-12-01,2025-12-01,200150,PureGlow Storefront,Cj0KCQ42x00000135AbVxYz,2025-12-01
500110,Order 500110,Closed won,Ecommerce Pipeline,92.35,2025-12-01,2025-12-01,180619,PureGlow Storefront,Cj0KCQ42x00000136AbVxYz,2025-09-11
500111,Order 500111,Closed won,Ecommerce Pipeline,58.31,2025-12-01,2025-12-01,180991,PureGlow Storefront,Cj0KCQ42x00000137AbVxYz,2025-04-27
500112,Order 500112,Closed won,Ecommerce Pipeline,57.81,2025-12-01,2025-12-01,200151,PureGlow Storefront,Cj0KCQ42x00000138AbVxYz,2025-12-01
500113,Order 500113,Closed won,Ecommerce Pipeline,82.56,2025-12-01,2025-12-01,144556,PureGlow Storefront,Cj0KCQ42x00000139AbVxYz,2025-01-25
500114,Order 500114,Closed won,Ecommerce Pipeline,69.35,2025-12-01,2025-12-01,200152,PureGlow Storefront,Cj0KCQ42x00000140AbVxYz,2025-12-01
500115,Order 500115,Closed won,Ecommerce Pipeline,99.10,2025-12-01,2025-12-01,200153,PureGlow Storefront,Cj0KCQ42x00000141AbVxYz,2025-12-01
500116,Order 500116,Closed won,Ecommerce Pipeline,45.53,2025-12-01,2025-12-01,200154,PureGlow Storefront,Cj0KCQ42x00000142AbVxYz,2025-12-01
500117,Order 500117,Closed won,Ecommerce Pipeline,58.37,2025-12-01,2025-12-01,200155,PureGlow Storefront,Cj0KCQ42x00000143AbVxYz,2025-12-01
500118,Order 500118,Closed won,Ecommerce Pipeline,67.19,2025-12-01,2025-12-01,200156,PureGlow Storefront,Cj0KCQ42x00000144AbVxYz,2025-12-01
500119,Order 500119,Closed won,Ecommerce Pipeline,93.64,2025-12-01,2025-12-01,200157,PureGlow Storefront,Cj0KCQ42x00000145AbVxYz,2025-12-01
500120,Order 500120,Closed won,Ecommerce Pipeline,51.60,2025-12-01,2025-12-01,200158,PureGlow Storefront,Cj0KCQ42x00000146AbVxYz,2025-12-01
500121,Order 500121,Closed won,Ecommerce Pipeline,49.48,2025-12-01,2025-12-01,200159,PureGlow Storefront,Cj0KCQ42x00000147AbVxYz,2025-12-01
500122,Order 500122,Closed won,Ecommerce Pipeline,60.88,2025-12-01,2025-12-01,200160,PureGlow Storefront,Cj0KCQ42x00000148AbVxYz,2025-12-01
500123,Order 500123,Closed won,Ecommerce Pipeline,38.02,2025-12-01,2025-12-01,200161,PureGlow Storefront,Cj0KCQ42x00000149AbVxYz,2025-12-01
500124,Order 500124,Closed won,Ecommerce Pipeline,115.55,2025-12-01,2025-12-01,200162,PureGlow Storefront,Cj0KCQ42x00000150AbVxYz,2025-12-01
500125,Order 500125,Closed won,Ecommerce Pipeline,73.13,2025-12-01,2025-12-01,200163,PureGlow Storefront,Cj0KCQ42x00000151AbVxYz,2025-12-01
500126,Order 500126,Closed won,Ecommerce Pipeline,81.24,2025-12-01,2025-12-01,200164,PureGlow Storefront,Cj0KCQ42x00000152AbVxYz,2025-12-01
500127,Order 500127,Closed won,Ecommerce Pipeline,61.87,2025-12-01,2025-12-01,200165,PureGlow Storefront,Cj0KCQ42x00000153AbVxYz,2025-12-01
500128,Order 500128,Closed won,Ecommerce Pipeline,88.09,2025-12-01,2025-12-01,189632,PureGlow Storefront,Cj0KCQ42x00000154AbVxYz,2025-08-09
500129,Order 500129,Closed won,Ecommerce Pipeline,62.85,2025-12-01,2025-12-01,175451,PureGlow Storefront,Cj0KCQ42x00000155AbVxYz,2025-05-14
500130,Order 500130,Closed won,Ecommerce Pipeline,56.41,2025-12-01,2025-12-01,200166,PureGlow Storefront,Cj0KCQ42x00000156AbVxYz,2025-12-01
500131,Order 500131,Closed won,Ecommerce Pipeline,74.94,2025-12-01,2025-12-01,200167,PureGlow Storefront,Cj0KCQ42x00000157AbVxYz,2025-12-01
500132,Order 500132,Closed won,Ecommerce Pipeline,96.96,2025-12-01,2025-12-01,177700,PureGlow Storefront,Cj0KCQ42x00000158AbVxYz,2024-11-08
500133,Order 500133,Closed won,Ecommerce Pipeline,69.28,2025-12-01,2025-12-01,200168,PureGlow Storefront,Cj0KCQ42x00000159AbVxYz,2025-12-01
500134,Order 500134,Closed won,Ecommerce Pipeline,98.43,2025-12-01,2025-12-01,124765,PureGlow Storefront,Cj0KCQ42x00000160AbVxYz,2025-03-07
500135,Order 500135,Closed won,Ecommerce Pipeline,41.02,2025-12-01,2025-12-01,200169,PureGlow Storefront,Cj0KCQ42x00000161AbVxYz,2025-12-01
500136,Order 500136,Closed won,Ecommerce Pipeline,88.91,2025-12-01,2025-12-01,147701,PureGlow Storefront,Cj0KCQ42x00000162AbVxYz,2024-11-10
500137,Order 500137,Closed won,Ecommerce Pipeline,85.67,2025-12-01,2025-12-01,200170,PureGlow Storefront,Cj0KCQ42x00000163AbVxYz,2025-12-01
500138,Order 500138,Closed won,Ecommerce Pipeline,65.83,2025-12-01,2025-12-01,187397,PureGlow Storefront,Cj0KCQ42x00000164AbVxYz,2025-10-18
500139,Order 500139,Closed won,Ecommerce Pipeline,80.13,2025-12-01,2025-12-01,200171,PureGlow Storefront,Cj0KCQ42x00000165AbVxYz,2025-12-01
500140,Order 500140,Closed won,Ecommerce Pipeline,55.09,2025-12-01,2025-12-01,184741,PureGlow Storefront,Cj0KCQ42x00000166AbVxYz,2024-11-13
500141,Order 500141,Closed won,Ecommerce Pipeline,82.29,2025-12-01,2025-12-01,200172,PureGlow Storefront,Cj0KCQ42x00000167AbVxYz,2025-12-01
500142,Order 500142,Closed won,Ecommerce Pipeline,82.41,2025-12-01,2025-12-01,200173,PureGlow Storefront,Cj0KCQ42x00000168AbVxYz,2025-12-01
500143,Order 500143,Closed won,Ecommerce Pipeline,74.27,2025-12-01,2025-12-01,200174,PureGlow Storefront,Cj0KCQ42x00000169AbVxYz,2025-12-01
500144,Order 500144,Closed won,Ecommerce Pipeline,57.50,2025-12-01,2025-12-01,200175,PureGlow Storefront,Cj0KCQ42x00000170AbVxYz,2025-12-01
500145,Order 500145,Closed won,Ecommerce Pipeline,32.68,2025-12-01,2025-12-01,200176,PureGlow Storefront,Cj0KCQ42x00000171AbVxYz,2025-12-01
500146,Order 500146,Closed won,Ecommerce Pipeline,39.20,2025-12-01,2025-12-01,200177,PureGlow Storefront,Cj0KCQ42x00000172AbVxYz,2025-12-01
500147,Order 500147,Closed won,Ecommerce Pipeline,58.21,2025-12-01,2025-12-01,112130,PureGlow Storefront,Cj0KCQ42x00000173AbVxYz,2025-08-12
500148,Order 500148,Closed won,Ecommerce Pipeline,70.26,2025-12-01,2025-12-01,175426,PureGlow Storefront,Cj0KCQ42x00000174AbVxYz,2025-06-20
500149,Order 500149,Closed won,Ecommerce Pipeline,72.14,2025-12-01,2025-12-01,200178,PureGlow Storefront,Cj0KCQ42x00000175AbVxYz,2025-12-01
500150,Order 500150,Closed won,Ecommerce Pipeline,62.06,2025-12-01,2025-12-01,144667,PureGlow Storefront,Cj0KCQ42x00000176AbVxYz,2025-05-15
500151,Order 500151,Closed won,Ecommerce Pipeline,92.78,2025-12-01,2025-12-01,200179,PureGlow Storefront,Cj0KCQ42x00000177AbVxYz,2025-12-01
500152,Order 500152,Closed won,Ecommerce Pipeline,65.48,2025-12-01,2025-12-01,200180,PureGlow Storefront,Cj0KCQ42x00000178AbVxYz,2025-12-01
500153,Order 500153,Closed won,Ecommerce Pipeline,35.51,2025-12-01,2025-12-01,159785,PureGlow Storefront,Cj0KCQ42x00000179AbVxYz,2025-11-10
500154,Order 500154,Closed won,Ecommerce Pipeline,86.41,2025-12-01,2025-12-01,200181,PureGlow Storefront,Cj0KCQ42x00000180AbVxYz,2025-12-01
500155,Order 500155,Closed won,Ecommerce Pipeline,66.42,2025-12-01,2025-12-01,200182,PureGlow Storefront,Cj0KCQ42x00000181AbVxYz,2025-12-01
500156,Order 500156,Closed won,Ecommerce Pipeline,42.05,2025-12-01,2025-12-01,200183,PureGlow Storefront,Cj0KCQ42x00000182AbVxYz,2025-12-01
500157,Order 500157,Closed won,Ecommerce Pipeline,98.18,2025-12-01,2025-12-01,114942,PureGlow Storefront,Cj0KCQ42x00000183AbVxYz,2025-11-04
500158,Order 500158,Closed won,Ecommerce Pipeline,87.54,2025-12-01,2025-12-01,129014,PureGlow Storefront,Cj0KCQ42x00000184AbVxYz,2025-01-20
500159,Order 500159,Closed won,Ecommerce Pipeline,71.43,2025-12-01,2025-12-01,177574,PureGlow Storefront,Cj0KCQ42x00000185AbVxYz,2025-02-02
500160,Order 500160,Closed won,Ecommerce Pipeline,52.56,2025-12-01,2025-12-01,138516,PureGlow Storefront,Cj0KCQ42x00000186AbVxYz,2025-05-07
500161,Order 500161,Closed won,Ecommerce Pipeline,90.70,2025-12-01,2025-12-01,200184,PureGlow Storefront,Cj0KCQ42x00000187AbVxYz,2025-12-01
500162,Order 500162,Closed won,Ecommerce Pipeline,91.51,2025-12-01,2025-12-01,200185,PureGlow Storefront,Cj0KCQ42x00000188AbVxYz,2025-12-01
500163,Order 500163,Closed won,Ecommerce Pipeline,74.59,2025-12-01,2025-12-01,200186,PureGlow Storefront,Cj0KCQ42x00000189AbVxYz,2025-12-01
500164,Order 500164,Closed won,Ecommerce Pipeline,69.58,2025-12-01,2025-12-01,200187,PureGlow Storefront,Cj0KCQ42x00000190AbVxYz,2025-12-01
500165,Order 500165,Closed won,Ecommerce Pipeline,76.64,2025-12-01,2025-12-01,200188,PureGlow Storefront,Cj0KCQ42x00000191AbVxYz,2025-12-01
500166,Order 500166,Closed won,Ecommerce Pipeline,82.73,2025-12-01,2025-12-01,200189,PureGlow Storefront,Cj0KCQ42x00000192AbVxYz,2025-12-01
500167,Order 500167,Closed won,Ecommerce Pipeline,76.74,2025-12-01,2025-12-01,200190,PureGlow Storefront,Cj0KCQ42x00000193AbVxYz,2025-12-01
