# ----------------------------------------
# Google Analytics 4 - Landing page report
# Start date: 20250401
# End date: 20260430
# ----------------------------------------
Date,Landing page,Sessions,Engaged sessions,Bounce rate,Conversions,Total revenue
20250416,/lp/spf-bundle-20-off,1707,758,0.5562,95,5590.46
20250416,/lp/skincare-routine-quiz,1309,521,0.6017,38,2364.78
20250416,/products/vitamin-c-serum,829,343,0.5858,28,1738.71
20250416,/collections/bestsellers,538,186,0.6542,13,814.25
20250416,/,428,120,0.7203,5,315.25
20250417,/lp/free-serum-sample,1774,635,0.6421,54,3338.43
20250417,/lp/spf-bundle-20-off,1617,758,0.5310,81,4931.16
20250417,/lp/skincare-routine-quiz,1163,440,0.6219,32,2031.98
20250417,/products/vitamin-c-serum,684,298,0.5642,23,1372.73
20250417,/collections/bestsellers,456,160,0.6497,10,584.27
20250417,/,364,103,0.7184,4,251.10
20250418,/lp/free-serum-sample,2345,813,0.6534,68,4424.60
20250418,/lp/spf-bundle-20-off,1780,793,0.5546,88,5337.79
20250418,/lp/skincare-routine-quiz,1376,557,0.5954,38,2228.35
20250418,/products/vitamin-c-serum,915,387,0.5766,31,1892.69
20250418,/collections/bestsellers,574,198,0.6546,13,781.62
20250418,/,417,128,0.6930,5,316.28
20250419,/lp/free-serum-sample,1964,705,0.6411,63,3804.49
20250419,/lp/spf-bundle-20-off,1753,783,0.5534,95,6106.42
20250419,/lp/skincare-routine-quiz,1217,472,0.6122,36,2176.72
20250419,/products/vitamin-c-serum,778,319,0.5898,28,1735.66
20250419,/collections/bestsellers,536,191,0.6442,12,718.04
20250419,/,444,130,0.7063,6,376.68
20250420,/lp/free-serum-sample,2086,736,0.6470,66,3810.12
20250420,/lp/spf-bundle-20-off,1647,726,0.5593,83,4789.14
20250420,/lp/skincare-routine-quiz,1213,460,0.6207,36,2289.10
20250420,/products/vitamin-c-serum,812,345,0.5757,29,1856.43
20250420,/collections/bestsellers,566,204,0.6392,12,711.45
20250420,/,436,130,0.7010,5,313.24
20250421,/lp/free-serum-sample,2206,787,0.6433,66,4165.32
20250421,/lp/spf-bundle-20-off,1917,886,0.5378,106,6563.69
20250421,/lp/skincare-routine-quiz,1258,511,0.5940,37,2334.64
20250421,/products/vitamin-c-serum,956,418,0.5631,34,2271.42
20250421,/collections/bestsellers,625,236,0.6230,14,909.40
20250421,/,419,126,0.6999,5,299.04
20250422,/lp/free-serum-sample,1933,664,0.6564,57,3363.94
20250422,/lp/spf-bundle-20-off,1547,717,0.5365,80,4844.57
20250422,/lp/skincare-routine-quiz,1199,488,0.5928,36,2160.71
20250422,/products/vitamin-c-serum,830,354,0.5732,29,1788.67
20250422,/collections/bestsellers,503,192,0.6189,11,692.20
20250422,/,385,116,0.6997,5,312.93
20250423,/lp/free-serum-sample,2028,737,0.6364,62,3700.20
20250423,/lp/spf-bundle-20-off,1763,785,0.5549,95,5798.29
20250423,/lp/skincare-routine-quiz,1159,472,0.5926,33,2102.33
20250423,/products/vitamin-c-serum,744,326,0.5622,26,1518.29
20250423,/collections/bestsellers,556,198,0.6442,13,780.61
20250423,/,424,129,0.6953,5,295.22
20250424,/lp/free-serum-sample,1812,598,0.6701,55,3359.50
20250424,/lp/spf-bundle-20-off,1782,819,0.5403,92,5697.54
20250424,/lp/skincare-routine-quiz,1130,430,0.6192,31,1894.50
20250424,/products/vitamin-c-serum,791,337,0.5740,28,1729.10
20250424,/collections/bestsellers,507,190,0.6255,11,646.84
20250424,/,393,116,0.7050,5,314.51
20250425,/lp/free-serum-sample,1866,629,0.6631,59,3781.12
20250425,/lp/spf-bundle-20-off,1676,776,0.5372,90,5570.21
20250425,/lp/skincare-routine-quiz,1244,492,0.6048,35,2180.55
20250425,/products/vitamin-c-serum,788,347,0.5597,27,1673.12
20250425,/collections/bestsellers,561,205,0.6348,12,782.97
20250425,/,431,121,0.7201,5,304.63
20250426,/lp/free-serum-sample,2175,776,0.6434,67,4432.18
20250426,/lp/spf-bundle-20-off,1801,844,0.5315,100,6319.19
20250426,/lp/skincare-routine-quiz,1210,462,0.6182,34,2040.50
20250426,/products/vitamin-c-serum,826,341,0.5871,28,1763.78
20250426,/collections/bestsellers,620,227,0.6332,14,845.10
20250426,/,408,123,0.6989,5,321.76
20250427,/lp/free-serum-sample,2254,792,0.6487,69,4330.38
20250427,/lp/spf-bundle-20-off,2118,967,0.5433,105,6238.62
20250427,/lp/skincare-routine-quiz,1394,558,0.5995,43,2797.07
20250427,/products/vitamin-c-serum,929,412,0.5570,34,2112.66
20250427,/collections/bestsellers,651,246,0.6225,16,1051.69
20250427,/,443,121,0.7265,6,384.96
20250428,/lp/free-serum-sample,1970,652,0.6692,63,3840.98
20250428,/lp/spf-bundle-20-off,1784,813,0.5444,94,5928.07
20250428,/lp/skincare-routine-quiz,1216,500,0.5892,34,2144.27
20250428,/products/vitamin-c-serum,790,345,0.5634,26,1546.36
20250428,/collections/bestsellers,542,195,0.6407,13,785.69
20250428,/,368,104,0.7176,5,301.09
20250429,/lp/free-serum-sample,2000,713,0.6433,61,3578.32
20250429,/lp/spf-bundle-20-off,1778,827,0.5348,99,5788.70
20250429,/lp/skincare-routine-quiz,1264,489,0.6134,35,2217.76
20250429,/products/vitamin-c-serum,873,384,0.5603,30,1776.78
20250429,/collections/bestsellers,610,224,0.6325,13,832.12
20250429,/,410,129,0.6865,5,293.43
20250430,/lp/free-serum-sample,1743,589,0.6620,51,3222.45
20250430,/lp/spf-bundle-20-off,1675,781,0.5337,88,5604.57
20250430,/lp/skincare-routine-quiz,1124,464,0.5868,32,1968.67
20250430,/products/vitamin-c-serum,728,314,0.5686,27,1704.66
20250430,/collections/bestsellers,507,188,0.6300,12,722.79
20250430,/,380,112,0.7063,5,329.56
20250501,/lp/free-serum-sample,2158,778,0.6396,68,4128.62
20250501,/lp/spf-bundle-20-off,1770,811,0.5420,93,5773.12
20250501,/lp/skincare-routine-quiz,1221,492,0.5968,34,2178.48
20250501,/products/vitamin-c-serum,807,353,0.5631,29,1707.47
20250501,/collections/bestsellers,524,190,0.6383,12,718.20
20250501,/,429,125,0.7085,6,378.38
20250502,/lp/free-serum-sample,2275,768,0.6625,74,4326.63
20250502,/lp/spf-bundle-20-off,2114,1001,0.5263,116,7337.98
20250502,/lp/skincare-routine-quiz,1350,520,0.6145,37,2131.78
20250502,/products/vitamin-c-serum,917,404,0.5594,31,1987.55
20250502,/collections/bestsellers,620,234,0.6224,14,898.09
20250502,/,480,148,0.6915,6,385.81
20250503,/lp/free-serum-sample,2024,677,0.6653,63,3954.38
20250503,/lp/spf-bundle-20-off,1968,909,0.5381,109,7198.90
20250503,/lp/skincare-routine-quiz,1368,536,0.6084,37,2448.16
20250503,/products/vitamin-c-serum,934,394,0.5781,33,1994.75
20250503,/collections/bestsellers,622,228,0.6336,14,935.19
20250503,/,425,123,0.7107,5,316.43
20250504,/lp/free-serum-sample,2126,703,0.6694,67,4033.38
20250504,/lp/spf-bundle-20-off,1722,807,0.5313,88,5160.30
20250504,/lp/skincare-routine-quiz,1245,489,0.6071,34,2075.28
20250504,/products/vitamin-c-serum,841,358,0.5747,31,1979.92
20250504,/collections/bestsellers,609,220,0.6387,14,870.47
20250504,/,446,134,0.7001,6,363.37
20250505,/lp/free-serum-sample,2249,787,0.6501,66,3830.98
20250505,/lp/spf-bundle-20-off,1820,824,0.5471,92,5910.80
20250505,/lp/skincare-routine-quiz,1330,545,0.5899,40,2501.30
20250505,/products/vitamin-c-serum,911,405,0.5552,34,2050.10
20250505,/collections/bestsellers,560,205,0.6343,13,825.96
20250505,/,444,132,0.7023,5,319.88
20250506,/lp/free-serum-sample,2193,769,0.6492,72,4466.15
20250506,/lp/spf-bundle-20-off,1993,916,0.5404,110,7166.72
20250506,/lp/skincare-routine-quiz,1299,504,0.6121,40,2604.70
20250506,/products/vitamin-c-serum,921,397,0.5689,31,1921.83
20250506,/collections/bestsellers,539,204,0.6224,12,774.61
20250506,/,437,122,0.7219,6,365.47
20250507,/lp/free-serum-sample,2130,765,0.6407,65,3952.87
20250507,/lp/spf-bundle-20-off,1810,838,0.5371,94,5812.40
20250507,/lp/skincare-routine-quiz,1161,467,0.5979,32,1924.67
20250507,/products/vitamin-c-serum,821,345,0.5800,28,1702.55
20250507,/collections/bestsellers,515,192,0.6268,11,684.63
20250507,/,386,109,0.7171,5,305.93
20250508,/lp/free-serum-sample,1857,634,0.6584,59,3812.72
20250508,/lp/spf-bundle-20-off,1779,828,0.5346,92,5859.15
20250508,/lp/skincare-routine-quiz,1178,492,0.5827,34,2214.24
20250508,/products/vitamin-c-serum,778,324,0.5841,26,1723.22
20250508,/collections/bestsellers,540,201,0.6287,12,725.83
20250508,/,406,112,0.7233,5,301.97
20250509,/lp/free-serum-sample,2146,744,0.6533,65,4094.20
20250509,/lp/spf-bundle-20-off,1797,802,0.5539,99,5718.55
20250509,/lp/skincare-routine-quiz,1282,527,0.5889,39,2495.24
20250509,/products/vitamin-c-serum,836,373,0.5542,31,1833.76
20250509,/collections/bestsellers,626,225,0.6411,15,897.86
20250509,/,415,118,0.7153,5,301.00
20250510,/lp/free-serum-sample,2246,777,0.6542,70,4213.16
20250510,/lp/spf-bundle-20-off,1872,867,0.5367,97,6001.68
20250510,/lp/skincare-routine-quiz,1382,529,0.6170,43,2649.93
20250510,/products/vitamin-c-serum,884,393,0.5552,30,1952.83
20250510,/collections/bestsellers,561,206,0.6325,13,818.31
20250510,/,445,139,0.6886,6,387.22
20250511,/lp/free-serum-sample,2127,765,0.6404,69,3980.15
20250511,/lp/spf-bundle-20-off,1654,778,0.5295,88,5070.69
20250511,/lp/skincare-routine-quiz,1285,534,0.5848,39,2327.96
20250511,/products/vitamin-c-serum,803,331,0.5872,27,1720.92
20250511,/collections/bestsellers,543,197,0.6380,12,704.75
20250511,/,391,110,0.7191,5,296.10
20250512,/lp/free-serum-sample,2018,681,0.6626,62,4000.91
20250512,/lp/spf-bundle-20-off,1793,820,0.5425,100,5937.02
20250512,/lp/skincare-routine-quiz,1308,532,0.5929,39,2497.70
20250512,/products/vitamin-c-serum,789,351,0.5546,29,1723.06
20250512,/collections/bestsellers,546,200,0.6338,12,778.94
20250512,/,386,121,0.6873,5,322.42
20250513,/lp/free-serum-sample,1880,686,0.6350,57,3729.19
20250513,/lp/spf-bundle-20-off,1707,809,0.5262,88,5246.59
20250513,/lp/skincare-routine-quiz,1141,460,0.5969,33,2099.94
20250513,/products/vitamin-c-serum,804,351,0.5635,29,1857.44
20250513,/collections/bestsellers,574,202,0.6481,13,804.48
20250513,/,400,126,0.6839,5,312.93
20250514,/lp/free-serum-sample,1936,714,0.6311,58,3715.33
20250514,/lp/spf-bundle-20-off,1655,755,0.5437,85,4957.71
20250514,/lp/skincare-routine-quiz,1150,481,0.5815,32,1967.34
20250514,/products/vitamin-c-serum,739,317,0.5715,26,1595.82
20250514,/collections/bestsellers,536,197,0.6328,12,698.19
20250514,/,373,105,0.7190,5,298.42
20250515,/lp/free-serum-sample,2038,735,0.6394,65,4339.29
20250515,/lp/spf-bundle-20-off,1926,881,0.5427,103,6596.44
20250515,/lp/skincare-routine-quiz,1280,529,0.5866,39,2509.65
20250515,/products/vitamin-c-serum,881,387,0.5612,32,2018.91
20250515,/collections/bestsellers,602,227,0.6225,15,950.74
20250515,/,435,132,0.6970,6,398.74
20250516,/lp/free-serum-sample,2560,864,0.6625,81,5204.54
20250516,/lp/spf-bundle-20-off,2188,975,0.5546,119,7074.41
20250516,/lp/skincare-routine-quiz,1536,592,0.6143,43,2752.28
20250516,/products/vitamin-c-serum,929,415,0.5528,34,2103.15
20250516,/collections/bestsellers,625,227,0.6367,14,908.47
20250516,/,449,126,0.7184,6,396.41
20250517,/lp/free-serum-sample,2143,746,0.6519,67,3973.00
20250517,/lp/spf-bundle-20-off,1963,886,0.5487,101,6009.19
20250517,/lp/skincare-routine-quiz,1337,543,0.5936,38,2192.97
20250517,/products/vitamin-c-serum,810,350,0.5674,29,1697.96
20250517,/collections/bestsellers,549,196,0.6434,13,826.92
20250517,/,434,134,0.6918,5,292.76
20250518,/lp/free-serum-sample,2241,804,0.6413,67,4416.40
20250518,/lp/spf-bundle-20-off,1850,883,0.5226,95,5623.74
20250518,/lp/skincare-routine-quiz,1412,587,0.5840,39,2576.67
20250518,/products/vitamin-c-serum,928,386,0.5841,31,2027.68
20250518,/collections/bestsellers,567,201,0.6458,13,765.10
20250518,/,421,116,0.7238,6,367.22
20250519,/lp/free-serum-sample,2040,743,0.6356,65,3897.67
20250519,/lp/spf-bundle-20-off,1799,826,0.5410,101,6161.34
20250519,/lp/skincare-routine-quiz,1189,469,0.6055,34,2106.08
20250519,/products/vitamin-c-serum,807,353,0.5631,29,1667.84
20250519,/collections/bestsellers,556,204,0.6328,13,818.72
20250519,/,375,111,0.7046,5,317.51
20250520,/lp/free-serum-sample,2090,709,0.6606,63,3782.84
20250520,/lp/spf-bundle-20-off,1893,884,0.5332,101,6120.55
20250520,/lp/skincare-routine-quiz,1242,500,0.5972,38,2279.83
20250520,/products/vitamin-c-serum,803,359,0.5531,27,1654.92
20250520,/collections/bestsellers,556,200,0.6399,13,807.06
20250520,/,435,133,0.6937,5,301.85
20250521,/lp/free-serum-sample,2010,686,0.6586,66,3999.10
20250521,/lp/spf-bundle-20-off,1726,785,0.5450,97,6111.85
20250521,/lp/skincare-routine-quiz,1285,519,0.5964,36,2114.11
20250521,/products/vitamin-c-serum,813,357,0.5614,28,1659.98
20250521,/collections/bestsellers,545,194,0.6444,13,773.41
20250521,/,431,126,0.7079,6,381.92
20250522,/lp/free-serum-sample,1880,665,0.6462,62,3825.70
20250522,/lp/spf-bundle-20-off,1731,792,0.5423,93,5923.05
20250522,/lp/skincare-routine-quiz,1122,443,0.6053,33,2033.54
20250522,/products/vitamin-c-serum,772,337,0.5640,29,1759.87
20250522,/collections/bestsellers,546,209,0.6165,12,735.10
20250522,/,408,117,0.7135,5,298.93
20250523,/lp/free-serum-sample,2249,839,0.6268,68,4091.26
20250523,/lp/spf-bundle-20-off,1862,871,0.5324,106,6583.68
20250523,/lp/skincare-routine-quiz,1285,511,0.6022,38,2458.46
20250523,/products/vitamin-c-serum,943,396,0.5799,32,1958.82
20250523,/collections/bestsellers,560,205,0.6332,13,818.18
20250523,/,441,137,0.6888,5,298.46
20250524,/lp/free-serum-sample,2302,792,0.6559,72,4405.81
20250524,/lp/spf-bundle-20-off,1937,928,0.5211,102,6641.43
20250524,/lp/skincare-routine-quiz,1377,534,0.6125,41,2637.77
20250524,/products/vitamin-c-serum,847,375,0.5576,28,1717.50
20250524,/collections/bestsellers,562,216,0.6159,13,796.75
20250524,/,431,120,0.7214,6,357.74
20250525,/lp/free-serum-sample,2228,786,0.6471,73,4597.56
20250525,/lp/spf-bundle-20-off,2012,944,0.5310,113,7612.67
20250525,/lp/skincare-routine-quiz,1432,557,0.6113,42,2711.42
20250525,/products/vitamin-c-serum,979,433,0.5579,34,2302.69
20250525,/collections/bestsellers,623,226,0.6379,15,951.79
20250525,/,456,134,0.7057,6,378.02
20250526,/lp/free-serum-sample,2146,742,0.6541,65,4088.04
20250526,/lp/spf-bundle-20-off,1797,860,0.5216,93,5828.64
20250526,/lp/skincare-routine-quiz,1170,481,0.5886,35,2153.28
20250526,/products/vitamin-c-serum,753,323,0.5717,27,1714.47
20250526,/collections/bestsellers,507,186,0.6323,12,779.68
20250526,/,406,113,0.7227,5,320.71
20250527,/lp/free-serum-sample,1992,673,0.6620,66,4324.90
20250527,/lp/spf-bundle-20-off,1732,796,0.5405,88,5180.95
20250527,/lp/skincare-routine-quiz,1165,461,0.6047,35,2193.07
20250527,/products/vitamin-c-serum,742,324,0.5628,25,1463.63
20250527,/collections/bestsellers,521,202,0.6130,12,715.58
20250527,/,408,126,0.6918,5,312.31
20250528,/lp/free-serum-sample,1922,707,0.6319,58,3681.11
20250528,/lp/spf-bundle-20-off,1574,728,0.5375,85,5077.76
20250528,/lp/skincare-routine-quiz,1166,455,0.6102,35,2207.20
20250528,/products/vitamin-c-serum,762,336,0.5596,29,1808.22
20250528,/collections/bestsellers,526,196,0.6266,12,737.88
20250528,/,394,121,0.6932,5,297.41
20250529,/lp/free-serum-sample,1835,653,0.6443,56,3483.93
20250529,/lp/spf-bundle-20-off,1726,807,0.5322,91,5650.35
20250529,/lp/skincare-routine-quiz,1192,488,0.5907,35,2106.74
20250529,/products/vitamin-c-serum,762,329,0.5688,28,1842.93
20250529,/collections/bestsellers,533,195,0.6334,12,741.57
20250529,/,389,113,0.7090,5,325.96
20250530,/lp/free-serum-sample,2206,756,0.6572,69,4263.75
20250530,/lp/spf-bundle-20-off,1871,868,0.5359,103,6167.32
20250530,/lp/skincare-routine-quiz,1432,588,0.5894,43,2788.80
20250530,/products/vitamin-c-serum,900,384,0.5734,31,1971.22
20250530,/collections/bestsellers,577,215,0.6271,13,762.93
20250530,/,453,144,0.6819,6,362.48
20250531,/lp/free-serum-sample,2139,735,0.6566,72,4728.13
20250531,/lp/spf-bundle-20-off,1714,772,0.5494,92,5770.92
20250531,/lp/skincare-routine-quiz,1330,540,0.5939,42,2539.86
20250531,/products/vitamin-c-serum,885,393,0.5555,30,1964.65
20250531,/collections/bestsellers,517,188,0.6356,12,803.49
20250531,/,420,129,0.6925,5,302.96
20250601,/lp/free-serum-sample,2145,790,0.6317,69,4295.33
20250601,/lp/spf-bundle-20-off,1873,843,0.5500,104,6093.24
20250601,/lp/skincare-routine-quiz,1349,549,0.5927,39,2521.90
20250601,/products/vitamin-c-serum,900,396,0.5602,32,1871.79
20250601,/collections/bestsellers,576,217,0.6227,14,884.86
20250601,/,478,146,0.6949,6,378.16
20250602,/lp/free-serum-sample,2158,747,0.6539,68,4308.42
20250602,/lp/spf-bundle-20-off,1823,846,0.5362,93,5950.78
20250602,/lp/skincare-routine-quiz,1229,485,0.6051,35,2113.42
20250602,/products/vitamin-c-serum,874,375,0.5710,30,1780.65
20250602,/collections/bestsellers,570,218,0.6182,13,768.63
20250602,/,418,127,0.6966,5,322.70
20250603,/lp/free-serum-sample,2337,809,0.6540,72,4276.25
20250603,/lp/spf-bundle-20-off,1802,812,0.5494,98,6101.80
20250603,/lp/skincare-routine-quiz,1312,553,0.5782,39,2313.15
20250603,/products/vitamin-c-serum,856,368,0.5701,29,1920.81
20250603,/collections/bestsellers,573,203,0.6456,13,799.37
20250603,/,431,136,0.6852,5,327.72
20250604,/lp/free-serum-sample,2029,758,0.6262,63,3809.56
20250604,/lp/spf-bundle-20-off,1799,857,0.5237,98,6428.75
20250604,/lp/skincare-routine-quiz,1307,537,0.5894,40,2423.98
20250604,/products/vitamin-c-serum,924,396,0.5712,34,2020.09
20250604,/collections/bestsellers,562,215,0.6176,13,767.87
20250604,/,405,113,0.7222,5,318.48
20250605,/lp/free-serum-sample,1935,727,0.6243,61,3552.27
20250605,/lp/spf-bundle-20-off,1488,705,0.5261,80,5075.23
20250605,/lp/skincare-routine-quiz,1153,453,0.6067,35,2201.99
20250605,/products/vitamin-c-serum,720,311,0.5685,25,1456.91
20250605,/collections/bestsellers,453,174,0.6164,11,664.90
20250605,/,395,113,0.7145,5,319.58
20250606,/lp/free-serum-sample,2037,745,0.6343,68,4276.19
20250606,/lp/spf-bundle-20-off,1850,840,0.5459,103,6091.33
20250606,/lp/skincare-routine-quiz,1191,504,0.5766,36,2136.94
20250606,/products/vitamin-c-serum,910,407,0.5527,32,2002.85
20250606,/collections/bestsellers,552,199,0.6397,12,739.67
20250606,/,414,124,0.6994,6,356.24
20250607,/lp/free-serum-sample,1942,725,0.6269,61,4047.98
20250607,/lp/spf-bundle-20-off,1711,803,0.5306,91,6077.99
20250607,/lp/skincare-routine-quiz,1183,496,0.5807,34,2155.36
20250607,/products/vitamin-c-serum,813,354,0.5650,29,1778.60
20250607,/collections/bestsellers,551,208,0.6218,12,764.69
20250607,/,392,124,0.6827,5,325.24
20250608,/lp/free-serum-sample,2105,759,0.6393,66,3815.19
20250608,/lp/spf-bundle-20-off,2086,984,0.5281,117,7482.89
20250608,/lp/skincare-routine-quiz,1400,576,0.5888,42,2557.45
20250608,/products/vitamin-c-serum,834,364,0.5632,28,1631.63
20250608,/collections/bestsellers,573,209,0.6354,13,787.45
20250608,/,480,141,0.7055,6,389.48
20250609,/lp/free-serum-sample,2074,739,0.6436,65,4163.38
20250609,/lp/spf-bundle-20-off,1642,761,0.5366,88,5526.52
20250609,/lp/skincare-routine-quiz,1233,496,0.5979,39,2549.17
20250609,/products/vitamin-c-serum,782,341,0.5633,27,1677.92
20250609,/collections/bestsellers,511,197,0.6144,11,690.67
20250609,/,366,113,0.6916,5,304.07
20250610,/lp/free-serum-sample,2230,791,0.6454,74,4895.93
20250610,/lp/spf-bundle-20-off,1870,896,0.5208,96,5854.78
20250610,/lp/skincare-routine-quiz,1336,528,0.6048,39,2449.52
20250610,/products/vitamin-c-serum,854,364,0.5735,29,1889.04
20250610,/collections/bestsellers,541,204,0.6235,12,748.42
20250610,/,459,143,0.6886,6,377.36
20250611,/lp/free-serum-sample,2006,737,0.6326,65,4314.72
20250611,/lp/spf-bundle-20-off,1635,749,0.5422,93,5640.72
20250611,/lp/skincare-routine-quiz,1283,537,0.5818,38,2400.29
20250611,/products/vitamin-c-serum,838,376,0.5518,31,1854.52
20250611,/collections/bestsellers,587,224,0.6187,13,857.83
20250611,/,399,116,0.7094,5,319.75
20250612,/lp/free-serum-sample,2037,705,0.6538,69,4523.45
20250612,/lp/spf-bundle-20-off,1701,798,0.5308,92,6183.09
20250612,/lp/skincare-routine-quiz,1172,486,0.5857,34,2163.35
20250612,/products/vitamin-c-serum,770,348,0.5479,28,1806.53
20250612,/collections/bestsellers,538,191,0.6448,13,813.10
20250612,/,405,129,0.6827,5,316.92
20250613,/lp/free-serum-sample,2211,832,0.6237,71,4648.52
20250613,/lp/spf-bundle-20-off,1731,799,0.5384,90,5769.04
